taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3033980	Cinnamomum Schaeff.	3033980	Cinnamomum Schaeff.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Cinnamomum	3033980			NE
5330948	Xanthosoma mexicanum Liebm.	5330948	Xanthosoma mexicanum Liebm.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Xanthosoma	2872044	Xanthosoma mexicanum	5330948	NE
5357322	Trigonella tenuis Fisch.	2965272	Medicago medicaginoides (Retz.) E.Small	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago medicaginoides	2965272	NE
5677687	Aegilops uniaristata Vis.	5677687	Aegilops uniaristata Vis.	36	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Aegilops	2703501	Aegilops uniaristata	5677687	NE
5677844	Aegilops peregrina var. brachyathera (Boiss.) Maire & Weiller	4137936	Aegilops peregrina (Hack.) Maire & Weiller	18	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Aegilops	2703501	Aegilops peregrina	4137936	DD
7068742	Brassica deflexa subsp. deflexa	3042507	Brassica deflexa Boiss.	2	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Brassica	3042506	Brassica deflexa	3042507	
7258956	Fragaria vesca subsp. vesca	7258956	Fragaria vesca subsp. vesca	30	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Fragaria	3029779	Fragaria vesca	3029817	
2857921	Allium roylei Stearn	2857921	Allium roylei Stearn	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium roylei	2857921	NT
2930498	Solanum stoloniferum Schltdl. & C.D.Bouché	2930498	Solanum stoloniferum Schltdl. & C.D.Bouché	23	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum stoloniferum	2930498	LC
2965280	Medicago truncatula Gaertn.	2965280	Medicago truncatula Gaertn.	985	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago truncatula	2965280	LC
2977105	Ononis viscosa L.	2977105	Ononis viscosa L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Ononis	2977094	Ononis viscosa	2977105	NE
3001509	Malus sylvestris Mill.	3001509	Malus sylvestris Mill.	18	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Malus	3001068	Malus sylvestris	3001509	DD
3190174	Citrus ×limonia Osbeck	7647136	Citrus ×limon (L.) Osbeck	23	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Rutaceae	2396	Citrus	3190155	Citrus limon	7647136	NE
6710733	Triticum monococcum var. laetissimum Korn.	6430821	Triticum monococcum subsp. monococcum	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Triticum	2706388	Triticum monococcum	7883427	
7068366	Vicia lutea subsp. lutea	7068366	Vicia lutea subsp. lutea	72	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia lutea	2974753	
2856153	Allium darwasicum Regel	2856153	Allium darwasicum Regel	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium darwasicum	2856153	NE
2857594	Allium autumnale P.H.Davis	2857594	Allium autumnale P.H.Davis	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium autumnale	2857594	LC
2986116	Ribes lobbii A.Gray	2986116	Ribes lobbii A.Gray	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Grossulariaceae	2403	Ribes	2986095	Ribes lobbii	2986116	NE
3022492	Prunus tangutica (Batalin) Koehne	3022492	Prunus tangutica (Batalin) Koehne	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559	Prunus tangutica	3022492	NE
3119153	Helianthus agrestis Pollard	3119153	Helianthus agrestis Pollard	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Helianthus	3119134	Helianthus agrestis	3119153	NE
3799091	Nicotiana stocktonii Brandegee	3799091	Nicotiana stocktonii Brandegee	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Nicotiana	2928756	Nicotiana stocktonii	3799091	NE
3800624	Nicotiana africana Merxm.	3800624	Nicotiana africana Merxm.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Nicotiana	2928756	Nicotiana africana	3800624	LC
4133822	Saccharum sikkimense (Hook.f.) V.Naray. ex Bor	4133822	Saccharum sikkimense (Hook.f.) V.Naray. ex Bor	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Saccharum	2703910	Saccharum sikkimense	4133822	NE
4151348	Pseudoroegneria libanotica (Hack.) D.R.Dewey	4151348	Pseudoroegneria libanotica (Hack.) D.R.Dewey	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Pseudoroegneria	6432756	Pseudoroegneria libanotica	4151348	NE
4154800	Avena brevis Roth	4154800	Avena brevis Roth	66	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Avena	2705282	Avena brevis	4154800	NE
5632281	Trigonella mesopotamica Hub.-Mor.	5632281	Trigonella mesopotamica Hub.-Mor.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Trigonella	2981525	Trigonella mesopotamica	5632281	NE
5672872	Elymus erosiglumis Melderis	5672872	Elymus erosiglumis Melderis	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Elymus	10465436	Elymus erosiglumis	5672872	NE
7835333	Ficus elastica Roxb.	7835333	Ficus elastica Roxb.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Moraceae	6640	Ficus	2984588	Ficus elastica	7835333	NE
11948551	Triticum aestivum var. albidum (Alef.) Valev	4932510	Triticum aestivum subsp. aestivum	13	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Triticum	2706388	Triticum aestivum	7795888	
2928524	Ipomoea pes-tigridis L.	2928524	Ipomoea pes-tigridis L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Convolvulaceae	2389	Ipomoea	2928509	Ipomoea pes-tigridis	2928524	NE
2964634	Lupinus benthamii A.Heller	2964634	Lupinus benthamii A.Heller	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Lupinus	2963774	Lupinus benthamii	2964634	NE
2965397	Medicago scutellata (L.) Mill.	2965397	Medicago scutellata (L.) Mill.	267	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago scutellata	2965397	LC
2974758	Vicia lutea subsp. cavanillesii (Martínez) Romero Zarco	2974758	Vicia lutea subsp. cavanillesii (Martínez) Romero Zarco	1	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia lutea	2974753	
2989301	Rubus adscitus Genev.	2989301	Rubus adscitus Genev.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rubus	2988638	Rubus adscitus	2989301	NE
2996897	Rubus setchuenensis Bureau & Franch.	2996897	Rubus setchuenensis Bureau & Franch.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rubus	2988638	Rubus setchuenensis	2996897	NE
3641434	Daucus halophilus Brot.	3642125	Daucus carota subsp. halophilus (Brot.) A.Pujadas	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Daucus	3034740	Daucus carota	3034742	DD
3966214	Medicago maritima Pall. ex Georgi	2965395	Medicago marina L.	6	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago marina	2965395	NE
4925890	Acer tataricum subsp. ginnala (Maxim.) Wesm.	4925890	Acer tataricum subsp. ginnala (Maxim.) Wesm.	7	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Acer	3189834	Acer tataricum	3189843	
6560040	Potentilla anserina subsp. groenlandica Tratt.	5366874	Argentina anserina subsp. groenlandica (Tratt.) Á.Löve	1	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Argentina	3026341	Argentina anserina	5367246	
8005258	Elymus donianus (F.B.White) Á.Löve & D.Löve	5290319	Elymus caninus (L.) L.	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Elymus	10465436	Elymus caninus	5290319	NE
8615597	Pisum sativum f. axiphium Alef.	5708620	Pisum sativum var. macrocarpon Ser.	195	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Lathyrus	10356062	Lathyrus oleraceus	5347846	
2706195	Milium vernale M.Bieb.	2706195	Milium vernale M.Bieb.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Milium	2706194	Milium vernale	2706195	NE
2857375	Allium dictyoprasum C.A.Mey. ex Kunth	2857375	Allium dictyoprasum C.A.Mey. ex Kunth	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium dictyoprasum	2857375	NE
2928596	Ipomoea imperati (Vahl) Griseb.	2928596	Ipomoea imperati (Vahl) Griseb.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Convolvulaceae	2389	Ipomoea	2928509	Ipomoea imperati	2928596	NE
2965516	Medicago soleirolii Duby	2965516	Medicago soleirolii Duby	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago soleirolii	2965516	DD
3053358	Rorippa lippizensis (Wulfen) Rchb.	3053358	Rorippa lippizensis (Wulfen) Rchb.	11	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Rorippa	3053118	Rorippa lippizensis	3053358	LC
