title,wikidataURL,ISSN-L,openAlexID,IPNIpubID,ZooBankPubID,dissolvedYear,dissolved,source
Annals of Philosophy,http://www.wikidata.org/entity/Q4767859,0365-4915,,20008905-1,,,,IPNI or ZooBank ID
"Technical Bulletin, New York Agricultural Experiment Station",http://www.wikidata.org/entity/Q20744368,0099-5215,,6740-2,,,,IPNI or ZooBank ID
On the cultivation of the plants belonging to the natural order of Proteeae,http://www.wikidata.org/entity/Q6050728,,,20006219-1,,,,IPNI or ZooBank ID
Archives de Botanique. Bulletin mensuel,http://www.wikidata.org/entity/Q92031616,1248-4369,,3488-2,,,,IPNI or ZooBank ID
International Journal of Scientific Development and Research,http://www.wikidata.org/entity/Q124655446,2455-2631,,20034297-1,,,,IPNI or ZooBank ID
Anales del instituto de Biología de la Universidad Nacional de México,http://www.wikidata.org/entity/Q5674351,,,1180-2,,,,IPNI or ZooBank ID
Arquivos de Botânica do Estado de São Paulo,http://www.wikidata.org/entity/Q5705298,,,850-2,,,,IPNI or ZooBank ID
Plant Life,http://www.wikidata.org/entity/Q16619513,,,2727-2,,,,IPNI or ZooBank ID
Q16636567,http://www.wikidata.org/entity/Q16636567,,,2963-2,,,,IPNI or ZooBank ID
Abhandlungen der Mathematisch-Physischen Klasse der Sächsischen Akademie der Wissenschaften,http://www.wikidata.org/entity/Q47117998,0323-8741,,8679-2,,,,IPNI or ZooBank ID
Trudy Botanicheskogo Muzeya. Travaux du Musee Botanique,http://www.wikidata.org/entity/Q15813969,,,4720-2,,,,IPNI or ZooBank ID
Q15278379,http://www.wikidata.org/entity/Q15278379,1132-2977,,8490-2,,,,IPNI or ZooBank ID
New Names Grevillea,http://www.wikidata.org/entity/Q6041508,,,20011991-1,,,,IPNI or ZooBank ID
Gartenbau im Reich,http://www.wikidata.org/entity/Q5875565,,,9387-2,,,,IPNI or ZooBank ID
Acta Albertina Ratisbonensia,http://www.wikidata.org/entity/Q15830680,0515-2712,,1622-2,,,,IPNI or ZooBank ID
Bulletin de la Société Dauphinoise pour l'Échange des Plantes,http://www.wikidata.org/entity/Q72975288,1968-4320,,17365-2,,,,IPNI or ZooBank ID
Exsiccatorum Genavensium e Conservatorio Botanico Distributorum Fasciculus,http://www.wikidata.org/entity/Q5853572,,,18200-2,,,,IPNI or ZooBank ID
Botanicheskie Materialy Gerbariia Glavnogo Botanicheskogo Sada S.S.S.R.,http://www.wikidata.org/entity/Q47165632,,,4400-2,,,,IPNI or ZooBank ID
Garden and Field,http://www.wikidata.org/entity/Q113637068,,,20008358-2,,,,IPNI or ZooBank ID
"Giornale di fisica, chimica e storia naturale",http://www.wikidata.org/entity/Q5880070,,,19085-2,,,,IPNI or ZooBank ID
ISSN 0096-9486,http://www.wikidata.org/entity/Q134455798,,,,E82E7EF3-2B2F-4A8D-8A81-2FD29AF04DB3,,,IPNI or ZooBank ID
Denkschriften der Königlich-Baierischen Botanischen Gesellschaft in Regensburg,http://www.wikidata.org/entity/Q5802720,,,4189-2,,,,IPNI or ZooBank ID
Paxton's Flower Garden,http://www.wikidata.org/entity/Q6067665,,,7810-2,,,,IPNI or ZooBank ID
Colemania,http://www.wikidata.org/entity/Q21385346,0970-3292,,,B73284AA-B5A7-4921-9989-5CDD893CDCCB,,,IPNI or ZooBank ID
