title,wikidataURL,ISSN-L,IPNIpubID,ZooBankPubID,openAlexID,dissolvedYear,dissolved,source
Kurtziana,http://www.wikidata.org/entity/Q2882602,0075-7314,1233-2,,,,,IPNI or ZooBank ID
Bulletin du Département de l'Agriculture aux Indes Néerlandaises,http://www.wikidata.org/entity/Q8253576,,6389-2,90F29D14-529C-40D9-81DB-1B673D5A0A0F,,1911,True,IPNI or ZooBank ID
Verhandelingen der Koninklijke Nederlandse Akademie van Wetenschappen. Afdeling Natuurkunde. Tweede sectie,http://www.wikidata.org/entity/Q6160593,0373-465X,3460-2,64256037-CDD9-42F1-844A-24D3E641EC90,,,,IPNI or ZooBank ID
Cactus and Succulent Journal,http://www.wikidata.org/entity/Q6400102,0007-9367,1964-2,7B4C0A93-4342-4678-A13A-B08A15C832FA,S12650052,,,IPNI or ZooBank ID
Memoirs of the New York Botanical Garden,http://www.wikidata.org/entity/Q2843475,0077-8931,719-2,,,,,IPNI or ZooBank ID
Memoirs of the New York Botanical Garden,http://www.wikidata.org/entity/Q2843475,0077-8931,719-2,,,,,IPNI or ZooBank ID
Journal of the Royal Society of New Zealand,http://www.wikidata.org/entity/Q2790617,0303-6758,2833-2,2FC27CBE-2E78-40DC-9E18-17873AAAE8E5,S69248470,,,IPNI or ZooBank ID
Blumea,http://www.wikidata.org/entity/Q1086260,0006-5196,549-2,97FF77AD-52E2-4670-BC2A-2304FAC11AA2,S118170198,,,IPNI or ZooBank ID
Blumea,http://www.wikidata.org/entity/Q1086260,0006-5196,549-2,97FF77AD-52E2-4670-BC2A-2304FAC11AA2,S118170198,,,IPNI or ZooBank ID
Sinensia,http://www.wikidata.org/entity/Q10901501,1000-9256,8220-2,85E56F63-7B61-4874-9E54-4E82143E12D8,,1951,True,IPNI or ZooBank ID
Proceedings of the Royal Society of Queensland,http://www.wikidata.org/entity/Q2836626,0080-469X,777-2,,S4210170288,,,IPNI or ZooBank ID
Annals of the Lyceum of Natural History of New York,http://www.wikidata.org/entity/Q2887592,0890-6564,1418-2,,S115101109,1877,True,IPNI or ZooBank ID
North Queensland Naturalist,http://www.wikidata.org/entity/Q9050713,0078-1630,10296-2,15A0A100-8B34-4B0B-8E5A-617EF8E3E3B6,,,,IPNI or ZooBank ID
Proceedings of the Linnean Society of New South Wales,http://www.wikidata.org/entity/Q6087098,,,D957F456-8074-45EA-9F96-9A6669BAE2C1,,,,IPNI or ZooBank ID
Pacific Science,http://www.wikidata.org/entity/Q6056825,0030-8870,3647-2,8759499F-AFD6-4167-803B-1E76B82F92F1,S190755922,,,IPNI or ZooBank ID
Journal of Systematic Palaeontology,http://www.wikidata.org/entity/Q6295983,1477-2019,,5E7753D2-FFD6-4BF6-BCD7-4B0F12D51AA5,S159281433,,,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210174855,1875,True,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210174855,1875,True,IPNI or ZooBank ID
BioScience,http://www.wikidata.org/entity/Q1092250,0006-3568,1858-2,,S121830084,,,IPNI or ZooBank ID
Pacific Science,http://www.wikidata.org/entity/Q6056825,0030-8870,3647-2,8759499F-AFD6-4167-803B-1E76B82F92F1,S190755922,,,IPNI or ZooBank ID
Anales de la Academia de Ciencias Medicas,http://www.wikidata.org/entity/Q10854864,,1347-2,,,1958,True,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210191033,1875,True,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210191033,1875,True,IPNI or ZooBank ID
University of California Publications in Botany,http://www.wikidata.org/entity/Q2883120,0068-6395,1087-2,,,2001,True,IPNI or ZooBank ID
Journal of the Asiatic Society of Bengal. Part 2. Natural History,http://www.wikidata.org/entity/Q2840714,,982-2,,,,,IPNI or ZooBank ID
Carnivorous Plant Newsletter,http://www.wikidata.org/entity/Q1085036,0190-9215,1990-2,,S955657080,,,IPNI or ZooBank ID
Journal of the Entomological Research Society,http://www.wikidata.org/entity/Q6296134,1302-0250,,BA1CAA9F-56C2-41C1-8247-F36B47F82211,S163550739,,,IPNI or ZooBank ID
Annals of the Lyceum of Natural History of New York,http://www.wikidata.org/entity/Q2887592,0890-6564,1418-2,,S4210188341,1877,True,IPNI or ZooBank ID
Memoirs of the New York Botanical Garden,http://www.wikidata.org/entity/Q2843475,0077-8931,719-2,,,,,IPNI or ZooBank ID
Memoirs of the New York Botanical Garden,http://www.wikidata.org/entity/Q2843475,0077-8931,719-2,,,,,IPNI or ZooBank ID
Flora of South Australia. Edition 3,http://www.wikidata.org/entity/Q2889653,,12917-2,,,,,IPNI or ZooBank ID
"Boletin Tecnico, Instituto Nacional de Investigaciones Forestales",http://www.wikidata.org/entity/Q10858967,,11202-2,,,,,IPNI or ZooBank ID
Journal of Parasitology,http://www.wikidata.org/entity/Q6295713,0022-3395,,8487F1BC-67F4-43AB-95FF-3CF6A59E27C7,S31573680,,,IPNI or ZooBank ID
Journal of the Royal Society of New Zealand,http://www.wikidata.org/entity/Q2790617,0303-6758,2833-2,2FC27CBE-2E78-40DC-9E18-17873AAAE8E5,S69248470,,,IPNI or ZooBank ID
Australian Mammalogy,http://www.wikidata.org/entity/Q781568,0310-0049,,216D5DEA-CE64-4E2F-9744-465D308C19B8,S158693716,,,IPNI or ZooBank ID
Botanical Gazette,http://www.wikidata.org/entity/Q894627,0006-8071,552-2,CA7ACA3B-C1E6-45AE-BB6D-DA069854A841,S192124398,,,IPNI or ZooBank ID
North Queensland Naturalist,http://www.wikidata.org/entity/Q9050713,0078-1630,10296-2,15A0A100-8B34-4B0B-8E5A-617EF8E3E3B6,,,,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210179068,1875,True,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210179068,1875,True,IPNI or ZooBank ID
Kurtziana,http://www.wikidata.org/entity/Q2882602,0075-7314,1233-2,,,,,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210174855,1875,True,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S4210174855,1875,True,IPNI or ZooBank ID
Pacific Insects Monograph,http://www.wikidata.org/entity/Q7122499,0078-7515,,6D3B9AFD-0CA6-48BC-8FA9-83B33E621B29,S157127429,1986,True,IPNI or ZooBank ID
The gardeners' magazine,http://www.wikidata.org/entity/Q10896715,,6021-2,,,1916,True,IPNI or ZooBank ID
Journal of Systematic Palaeontology,http://www.wikidata.org/entity/Q6295983,1477-2019,,5E7753D2-FFD6-4BF6-BCD7-4B0F12D51AA5,S159281433,,,IPNI or ZooBank ID
Blumea,http://www.wikidata.org/entity/Q1086260,0006-5196,549-2,97FF77AD-52E2-4670-BC2A-2304FAC11AA2,S118170198,,,IPNI or ZooBank ID
Blumea,http://www.wikidata.org/entity/Q1086260,0006-5196,549-2,97FF77AD-52E2-4670-BC2A-2304FAC11AA2,S118170198,,,IPNI or ZooBank ID
Sinensia,http://www.wikidata.org/entity/Q10901501,1000-9256,8220-2,85E56F63-7B61-4874-9E54-4E82143E12D8,,1951,True,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S105286527,1875,True,IPNI or ZooBank ID
Transactions of the Linnean Society of London,http://www.wikidata.org/entity/Q6151611,1945-9432,815-2,A56F28C3-A78D-4E32-BE22-30BB726D63D8,S105286527,1875,True,IPNI or ZooBank ID
Pacific Insects,http://www.wikidata.org/entity/Q7122498,0030-8714,,A810529B-B6E2-472B-934B-C0767C66F9FF,S189596439,1985,True,IPNI or ZooBank ID
Zoe; a Biological Journal,http://www.wikidata.org/entity/Q2884712,,1094-2,,,1908,True,IPNI or ZooBank ID
Botanical Gazette,http://www.wikidata.org/entity/Q894627,0006-8071,552-2,CA7ACA3B-C1E6-45AE-BB6D-DA069854A841,S192124398,,,IPNI or ZooBank ID
Proceedings of the Royal Society of Queensland,http://www.wikidata.org/entity/Q2836626,0080-469X,777-2,,S4210170288,,,IPNI or ZooBank ID
Proceedings of the Linnean Society of New South Wales,http://www.wikidata.org/entity/Q6087096,,776-2,D957F456-8074-45EA-9F96-9A6669BAE2C1,S4210212754,,,IPNI or ZooBank ID
Proceedings of the Linnean Society of New South Wales,http://www.wikidata.org/entity/Q6087096,,776-2,D957F456-8074-45EA-9F96-9A6669BAE2C1,S4306524262,,,IPNI or ZooBank ID
Biologiske Skrifter,http://www.wikidata.org/entity/Q6396535,0366-3612,2060-2,9624605C-D129-44CA-936F-63D8D8F5FEA7,,,,IPNI or ZooBank ID
Koleopterologische Rundschau,http://www.wikidata.org/entity/Q21384961,0075-6547,,4134EAE0-EE83-4701-81E2-A04F96D91B2E,,,,IPNI or ZooBank ID
Bulletin of the British Museum (Natural History). Zoology,http://www.wikidata.org/entity/Q21385105,0007-1498,,DD1B44B9-F084-4788-A64C-547922BBDD2F,S2764773488,,,IPNI or ZooBank ID
"Records of the Western Australian Museum, supplement",http://www.wikidata.org/entity/Q21384998,0313-122X,,6A59645C-C9D3-402F-B9B9-A975F2607310,S4210205627,,,IPNI or ZooBank ID
International Journal of Advanced Research,http://www.wikidata.org/entity/Q27726987,2320-5407,20018512-2,,S4210206230,,,IPNI or ZooBank ID
International Journal of Current Research in Biosciences and Plant Biology,http://www.wikidata.org/entity/Q27726982,2349-8072,20020160-2,,S4210190360,,,IPNI or ZooBank ID
International Journal of Current Research in Biosciences and Plant Biology,http://www.wikidata.org/entity/Q27726982,2349-8072,20020160-2,,S2764804930,,,IPNI or ZooBank ID
Rudolstädter naturhistorische Schriften,http://www.wikidata.org/entity/Q21385084,0863-0844,,D61E953A-2350-4562-AB46-AB1E0CA559A1,,,,IPNI or ZooBank ID
Annales de la Société entomologique de Belgique,http://www.wikidata.org/entity/Q21385027,0774-5915,,13FC00C6-0A1D-4B9F-9C35-36AAD946BF10,S4210194413,1924,True,IPNI or ZooBank ID
Annales de Parasitologie Humaine et Comparée,http://www.wikidata.org/entity/Q21384994,0003-4150,,A2DE5A48-64D4-4EA3-84C6-5AC4E8B48480,S2754010042,1993,True,IPNI or ZooBank ID
International Journal of Current Research in Biosciences and Plant Biology,http://www.wikidata.org/entity/Q27726982,2349-8072,20020160-2,,S4210190360,,,IPNI or ZooBank ID
Bishop Museum Occasional Papers,http://www.wikidata.org/entity/Q21385147,0893-1348,2425-2,B81E1025-E91B-4DD3-ADC3-6E1CE00581BB,,,,IPNI or ZooBank ID
Annali del Museo Civico di Storia Naturale 'Giacomo Doria',http://www.wikidata.org/entity/Q21385141,0365-4389,12478-2,E2E7EA1A-7AF2-4C08-82B1-01D7AF757CB9,S4210172427,,,IPNI or ZooBank ID
Annals of the Upper Silesian Museum in Bytom. Entomology,http://www.wikidata.org/entity/Q21385099,0867-1966,,24B7E9B6-D54C-42C6-9D06-DEB8EE82078F,,,,IPNI or ZooBank ID
Stuttgarter Beiträge zur Naturkunde (A),http://www.wikidata.org/entity/Q21385082,0341-0145,,08412292-6D64-4DDF-991C-C72BBCC8A1B2,S4210205502,2017,False,IPNI or ZooBank ID
Stuttgarter Beiträge zur Naturkunde (A),http://www.wikidata.org/entity/Q21385082,0341-0145,,A63F7A29-6914-4890-8B5D-2B1A03EE3E9B,S4210205502,2017,False,IPNI or ZooBank ID
Boletim da Sociedade Portuguesa de Entomologia,http://www.wikidata.org/entity/Q21385109,0870-7227,,E4FD6CF0-3B60-4A47-BA9B-41CCF91C2707,,,,IPNI or ZooBank ID
Annales de Parasitologie Humaine et Comparée,http://www.wikidata.org/entity/Q21384994,0003-4150,,A2DE5A48-64D4-4EA3-84C6-5AC4E8B48480,S2754010042,1993,True,IPNI or ZooBank ID
Annales Entomologici Fennici,http://www.wikidata.org/entity/Q21384999,0003-4428,,C1A33D46-795B-463D-941A-41E052926872,S4306502206,1989,True,IPNI or ZooBank ID
Arquivos do Museu Nacional Rio de Janeiro,http://www.wikidata.org/entity/Q21385151,0365-4508,3790-2,AC6A1C19-2B03-403E-BC2B-E3FBB46E31E7,,1926,True,IPNI or ZooBank ID
Stuttgarter Beiträge zur Naturkunde (A),http://www.wikidata.org/entity/Q21385082,0341-0145,,08412292-6D64-4DDF-991C-C72BBCC8A1B2,S4210205502,2017,False,IPNI or ZooBank ID
Stuttgarter Beiträge zur Naturkunde (A),http://www.wikidata.org/entity/Q21385082,0341-0145,,A63F7A29-6914-4890-8B5D-2B1A03EE3E9B,S4210205502,2017,False,IPNI or ZooBank ID
Acta Zoologica Academiae Scientiarum Hungaricae,http://www.wikidata.org/entity/Q21384963,0001-7264,,9AACF952-5ACA-405A-AAB8-D577ED9A8B9B,,1983,True,IPNI or ZooBank ID
Japanese Journal of Systematic Entomology,http://www.wikidata.org/entity/Q21385122,1341-1160,,A8567966-5C6D-4567-BDE1-01BF88264C94,,,,IPNI or ZooBank ID
Australian Biodiversity Record,http://www.wikidata.org/entity/Q21385079,1325-2992,,868BA696-C4C1-4A3C-8F0A-3792ED41A2B4,,,,IPNI or ZooBank ID
Berliner Entomologische Zeitschrift,http://www.wikidata.org/entity/Q21385045,0323-6145,,2000BE24-D6B1-4C19-B637-257D892D6D84,S4210200522,1874,True,IPNI or ZooBank ID
Berliner Entomologische Zeitschrift,http://www.wikidata.org/entity/Q21385045,0323-6145,,2000BE24-D6B1-4C19-B637-257D892D6D84,S4210200522,1874,True,IPNI or ZooBank ID
Nature Plants,http://www.wikidata.org/entity/Q27726299,2055-0278,20026164-1,,S2764671299,,,IPNI or ZooBank ID
Stuttgarter Beiträge zur Naturkunde (B),http://www.wikidata.org/entity/Q21385087,0341-0153,,C9B75CF5-47FE-4999-ADA0-971A1DCBC366,,2007,True,IPNI or ZooBank ID
The Tasmanian Naturalist,http://www.wikidata.org/entity/Q21385062,0819-6826,,2992926B-6E2F-4D00-8D96-14D1CA9C8FCF,,,,IPNI or ZooBank ID
Acta Societatis Zoologicae Bohemoslovenicae,http://www.wikidata.org/entity/Q21385078,0862-5247,,DDF5E02B-3704-4A37-BE01-60C43C937BA1,,1992,True,IPNI or ZooBank ID
Journal of the Australian Entomological Society,http://www.wikidata.org/entity/Q21385032,0004-9050,,D5DA2FC9-7B1E-4432-9DAA-C362519A3ADC,,,,IPNI or ZooBank ID
Koleopterologische Rundschau,http://www.wikidata.org/entity/Q21384961,0075-6547,,4134EAE0-EE83-4701-81E2-A04F96D91B2E,,,,IPNI or ZooBank ID
Annali del Museo Civico di Storia Naturale 'Giacomo Doria',http://www.wikidata.org/entity/Q21385141,0365-4389,12478-2,E2E7EA1A-7AF2-4C08-82B1-01D7AF757CB9,S4210172427,,,IPNI or ZooBank ID
Genus,http://www.wikidata.org/entity/Q21385089,0867-1710,,CB377375-E72E-410F-8F33-94EE87A0876E,S2764499429,,,IPNI or ZooBank ID
Acta Entomologica Slovenica,http://www.wikidata.org/entity/Q21384964,1318-1998,,A0250A9B-EFD2-47B0-89E0-10CC5FD595FF,,,,IPNI or ZooBank ID
Beiträge zur Naturkundlichen Forschung in Südwestdeutschland,http://www.wikidata.org/entity/Q21385059,0005-8122,1818-2,4528EA8B-1B11-45FF-AB73-8B5DC0C4D163,,,,IPNI or ZooBank ID
Bishop Museum Occasional Papers,http://www.wikidata.org/entity/Q21385147,0893-1348,2425-2,B81E1025-E91B-4DD3-ADC3-6E1CE00581BB,,,,IPNI or ZooBank ID
Acta Universitatis Carolinae. Biologica,http://www.wikidata.org/entity/Q21384959,0001-7124,3050-2,89ABA87F-E48C-4B04-A8C2-D7002738609E,,2006,True,IPNI or ZooBank ID
International Journal of Current Research in Biosciences and Plant Biology,http://www.wikidata.org/entity/Q27726982,2349-8072,20020160-2,,S2764804930,,,IPNI or ZooBank ID
Beihefte zur Nova Hedwigia,http://www.wikidata.org/entity/Q21385076,0078-2238,3260-2,1D454D64-F584-44DA-8A13-777DCBAE9AA2,S4306504103,,,IPNI or ZooBank ID
Genus,http://www.wikidata.org/entity/Q21385089,0867-1710,,CB377375-E72E-410F-8F33-94EE87A0876E,S2764499429,,,IPNI or ZooBank ID
Memoirs of the Myrmecological Society of Japan,http://www.wikidata.org/entity/Q21385164,1344-851X,,FD358446-7B67-41B3-B6D8-01C19EF018EC,,,,IPNI or ZooBank ID
Bulletin of the Osaka Museum of Natural History,http://www.wikidata.org/entity/Q21385090,0078-6675,,8741BD24-5CE3-4AA1-BA9F-DBF054222577,S4306505247,,,IPNI or ZooBank ID
Annals of the Upper Silesian Museum in Bytom. Entomology,http://www.wikidata.org/entity/Q21385099,0867-1966,,24B7E9B6-D54C-42C6-9D06-DEB8EE82078F,,,,IPNI or ZooBank ID
Bulletin of the New Zealand Department of Scientific and Industrial Research,http://www.wikidata.org/entity/Q21385005,0077-961X,,CA800F37-3619-4DB5-8697-7F394B9152F9,,,,IPNI or ZooBank ID
Nature Plants,http://www.wikidata.org/entity/Q27726299,2055-0278,20026164-1,,S2764671299,,,IPNI or ZooBank ID
Rheedea,http://www.wikidata.org/entity/Q11175372,0971-2313,14582-2,,S4210216843,,,IPNI or ZooBank ID
Rheedea,http://www.wikidata.org/entity/Q11175372,0971-2313,14582-2,,S4210218122,,,IPNI or ZooBank ID
Acta Phytotaxonomica et Geobotanica,http://www.wikidata.org/entity/Q100375972,0001-6799,1097-2,,S4306500485,2001,True,IPNI or ZooBank ID
Acta Hydrobiologica Sinica,http://www.wikidata.org/entity/Q11093302,1000-3207,12822-2,1F0EE0C1-25A1-4C02-A854-B5EED9C09E4B,S4306529907,,,IPNI or ZooBank ID
Acta Phytotaxonomica et Geobotanica,http://www.wikidata.org/entity/Q100375972,0001-6799,1097-2,,S4306500486,2001,True,IPNI or ZooBank ID
Current Biology,http://www.wikidata.org/entity/Q1144851,0960-9822,,2CE6524E-81D1-4F37-A4C1-94C45135AB53,S128425624,,,IPNI or ZooBank ID
Entomologische Blätter,http://www.wikidata.org/entity/Q55376973,0342-412X,,92471FF7-38FB-44C1-8910-C4A01FE346F7,,1944,True,IPNI or ZooBank ID
Conservation,http://www.wikidata.org/entity/Q1127324,,16205-2,,,1909,True,IPNI or ZooBank ID
Acta Phytotaxonomica et Geobotanica,http://www.wikidata.org/entity/Q100375972,0001-6799,1097-2,,S4306552804,2001,True,IPNI or ZooBank ID
Acta Hydrobiologica Sinica,http://www.wikidata.org/entity/Q11093302,1000-3207,12822-2,1F0EE0C1-25A1-4C02-A854-B5EED9C09E4B,S4306553227,,,IPNI or ZooBank ID
Acta Geologica Polonica,http://www.wikidata.org/entity/Q11684227,0001-5709,,18B6BB62-EFCF-4E28-A7CB-45FBA82E3852,S96739853,,,IPNI or ZooBank ID
Transactions of the Academy of Science of St. Louis,http://www.wikidata.org/entity/Q10987448,0096-3852,3729-2,,S4210209646,,,IPNI or ZooBank ID
Revista del Centro de Estudiantes del Doctorado en Ciencias Naturales,http://www.wikidata.org/entity/Q11173731,,496-2,,,,,IPNI or ZooBank ID
Acta Hydrobiologica Sinica,http://www.wikidata.org/entity/Q11093302,1000-3207,12822-2,1F0EE0C1-25A1-4C02-A854-B5EED9C09E4B,S115471999,,,IPNI or ZooBank ID
Boletín de la Academia Nacional de Ciencias,http://www.wikidata.org/entity/Q5731488,0325-2051,857-2,0D1AC1BD-AAB3-4135-9E67-DF98933118D9,,,,IPNI or ZooBank ID
Boletín de la Academia Nacional de Ciencias,http://www.wikidata.org/entity/Q5731488,0325-2051,857-2,4ECC8266-8E23-4426-84DD-D7DFD92D3ABA,,,,IPNI or ZooBank ID
Rheedea,http://www.wikidata.org/entity/Q11175372,0971-2313,14582-2,,S4210216843,,,IPNI or ZooBank ID
Rheedea,http://www.wikidata.org/entity/Q11175372,0971-2313,14582-2,,S4210218122,,,IPNI or ZooBank ID
Revue Horticole de la Cote-D'Or,http://www.wikidata.org/entity/Q11174171,,17766-2,,,,,IPNI or ZooBank ID
Proceedings of the Academy of Natural Sciences of Philadelphia,http://www.wikidata.org/entity/Q11134281,0097-3157,1043-2,E69C08C0-DA92-4AD2-B656-B3DCECFBF0C1,S4210231473,,,IPNI or ZooBank ID
Proceedings of the Academy of Natural Sciences of Philadelphia,http://www.wikidata.org/entity/Q11134281,0097-3157,1043-2,E69C08C0-DA92-4AD2-B656-B3DCECFBF0C1,S4306523948,,,IPNI or ZooBank ID
Magazine of Horticulture,http://www.wikidata.org/entity/Q100999346,,9522-2,,,,,IPNI or ZooBank ID
Journal of the Federated Malay States Museums,http://www.wikidata.org/entity/Q5946729,,1575-2,74084A14-26A1-47DB-848D-C02C818E51A5,,1941,True,IPNI or ZooBank ID
Journal of the Yamashina Institute for Ornithology,http://www.wikidata.org/entity/Q53953418,0044-0183,,449D4656-3122-41EB-8F31-11807D3ED576,S4306548047,,,IPNI or ZooBank ID
"Blumea, Supplement",http://www.wikidata.org/entity/Q5730734,,13371-2,010501FF-3E40-48D7-B338-007787067805,,,,IPNI or ZooBank ID
"Nouvelles archives du muséum d'histoire naturelle, sér. 3",http://www.wikidata.org/entity/Q6045845,,,8043D0D8-F435-4FBC-8D89-D2C228F09C62,,1898,True,IPNI or ZooBank ID
Acta Phytotaxonomica et Geobotanica,http://www.wikidata.org/entity/Q100375972,0001-6799,1097-2,,S4306500485,2001,True,IPNI or ZooBank ID
Journal of the Yamashina Institute for Ornithology,http://www.wikidata.org/entity/Q53953418,0044-0183,,449D4656-3122-41EB-8F31-11807D3ED576,S4210187024,,,IPNI or ZooBank ID
Acta Phytotaxonomica et Geobotanica,http://www.wikidata.org/entity/Q100375972,0001-6799,1097-2,,S4306500486,2001,True,IPNI or ZooBank ID
Current Biology,http://www.wikidata.org/entity/Q1144851,0960-9822,,2CE6524E-81D1-4F37-A4C1-94C45135AB53,S128425624,,,IPNI or ZooBank ID
Acta Phytotaxonomica et Geobotanica,http://www.wikidata.org/entity/Q100375972,0001-6799,1097-2,,S4306552804,2001,True,IPNI or ZooBank ID
Acta Hydrobiologica Sinica,http://www.wikidata.org/entity/Q11093302,1000-3207,12822-2,1F0EE0C1-25A1-4C02-A854-B5EED9C09E4B,S115471999,,,IPNI or ZooBank ID
"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie",http://www.wikidata.org/entity/Q5732642,0006-8152,553-2,79FE8C8C-4E2D-44EA-80E5-FD425788312B,S4210205828,2009,True,IPNI or ZooBank ID
"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie",http://www.wikidata.org/entity/Q5732642,0006-8152,553-2,79FE8C8C-4E2D-44EA-80E5-FD425788312B,S4210205828,2009,True,IPNI or ZooBank ID
Entomologische Blätter,http://www.wikidata.org/entity/Q55376973,0342-412X,,92471FF7-38FB-44C1-8910-C4A01FE346F7,,1944,True,IPNI or ZooBank ID
Journal of the Yamashina Institute for Ornithology,http://www.wikidata.org/entity/Q53953418,0044-0183,,449D4656-3122-41EB-8F31-11807D3ED576,S4306548047,,,IPNI or ZooBank ID
Proceedings of the Academy of Natural Sciences of Philadelphia,http://www.wikidata.org/entity/Q11134281,0097-3157,1043-2,E69C08C0-DA92-4AD2-B656-B3DCECFBF0C1,S4210231473,,,IPNI or ZooBank ID
Nouvelles archives du Muséum d'histoire naturelle,http://www.wikidata.org/entity/Q6045838,0766-7248,1166-2,9C870387-41F5-4E0A-B4DE-FF615AEFEAD9,S4210221758,1914,True,IPNI or ZooBank ID
Revista del Centro Estudiantes de Farmacia,http://www.wikidata.org/entity/Q11173729,,16463-2,,,,,IPNI or ZooBank ID
Bulletin du Muséum d'histoire naturelle,http://www.wikidata.org/entity/Q5735526,0027-4070,576-2,F1E9BC6B-7FB7-46F2-A09E-3ABE0C0C7F68,S4210202561,1906,True,IPNI or ZooBank ID
Revista Argentina de Agronomía,http://www.wikidata.org/entity/Q11173570,0370-7776,3603-2,,,,,IPNI or ZooBank ID
Journal of the Yamashina Institute for Ornithology,http://www.wikidata.org/entity/Q53953418,0044-0183,,449D4656-3122-41EB-8F31-11807D3ED576,S4210187024,,,IPNI or ZooBank ID
Mémoires du Muséum d'Histoire Naturelle,http://www.wikidata.org/entity/Q6035809,1256-2602,4267-2,34FE4ED2-63E3-4EBF-976B-EDF3C36BAB2D,,1832,True,IPNI or ZooBank ID
"Nouvelles archives du muséum d'histoire naturelle, sér. 2",http://www.wikidata.org/entity/Q6045841,,,6230ECA6-CF8C-466D-BB0E-1F971D85F87E,,1888,True,IPNI or ZooBank ID
Museum Senckenbergianum,http://www.wikidata.org/entity/Q6034658,,7752-2,824A366A-57C5-4529-AE00-52452A3581D3,,1845,True,IPNI or ZooBank ID
Acta Geologica Polonica,http://www.wikidata.org/entity/Q11684227,0001-5709,,18B6BB62-EFCF-4E28-A7CB-45FBA82E3852,S96739853,,,IPNI or ZooBank ID
Arkiv för Zoologi,http://www.wikidata.org/entity/Q10418043,0004-2110,,441E2294-0127-40FA-8754-3F108B0E284C,S4210221942,1974,True,IPNI or ZooBank ID
Arkiv för Zoologi,http://www.wikidata.org/entity/Q10418043,0004-2110,,5EBA011C-0E5A-45C4-BD9D-96B4BE64FD2D,S4210221942,1974,True,IPNI or ZooBank ID
Acta Hydrobiologica Sinica,http://www.wikidata.org/entity/Q11093302,1000-3207,12822-2,1F0EE0C1-25A1-4C02-A854-B5EED9C09E4B,S4306529907,,,IPNI or ZooBank ID
Bulletin du Muséum d'histoire naturelle,http://www.wikidata.org/entity/Q5735526,0027-4070,576-2,F1E9BC6B-7FB7-46F2-A09E-3ABE0C0C7F68,S4210202561,1906,True,IPNI or ZooBank ID
Novorum Actorum Academiae Caesareae Leopoldino-Carolinae Germanicae Naturae Curiosorum,http://www.wikidata.org/entity/Q6046064,,3178-2,7C399642-031E-4ABE-8F90-12E73822C2C6,,1870,True,IPNI or ZooBank ID
Acta Hydrobiologica Sinica,http://www.wikidata.org/entity/Q11093302,1000-3207,12822-2,1F0EE0C1-25A1-4C02-A854-B5EED9C09E4B,S4306553227,,,IPNI or ZooBank ID
Mémoires du Muséum d'Histoire Naturelle,http://www.wikidata.org/entity/Q6035809,1256-2602,4267-2,34FE4ED2-63E3-4EBF-976B-EDF3C36BAB2D,,1832,True,IPNI or ZooBank ID
Verhandlungen der Naturforschenden Gesellschaft in Basel,http://www.wikidata.org/entity/Q11067705,0077-6122,5617-2,,S4210204603,1994,True,IPNI or ZooBank ID
Nouvelles archives du Muséum d'histoire naturelle,http://www.wikidata.org/entity/Q6045838,0766-7248,1166-2,9C870387-41F5-4E0A-B4DE-FF615AEFEAD9,S4210221758,1914,True,IPNI or ZooBank ID
Proceedings of the Academy of Natural Sciences of Philadelphia,http://www.wikidata.org/entity/Q11134281,0097-3157,1043-2,E69C08C0-DA92-4AD2-B656-B3DCECFBF0C1,S4306523948,,,IPNI or ZooBank ID
Trudy Sredni-Aziatskogo Gosudarstvennogo Universiteta imeni V. I. Lenina,http://www.wikidata.org/entity/Q11012138,,440-2,,,,,IPNI or ZooBank ID
