OTU_ID	taxonomy	kingdom	phylum	class	order	Confidence
1103	Root;k__Chromista;p__Ciliophora;c__Oligotrichea;o__Tintinnida	Chromista	Ciliophora	Oligotrichea	Tintinnida	1
1104	Root;k__Protozoa;p__Euglenozoa;c__Euglenoidea;o__	Protozoa	Euglenozoa	Euglenoidea		1
1105	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Thalassionematales	Chromista	Ochrophyta	Bacillariophyceae	Thalassionematales	1
1106	Root;k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Ceraceosorales	Fungi	Basidiomycota	Exobasidiomycetes	Ceraceosorales	1
1107	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__	Fungi	Ascomycota	Dothideomycetes		1
1108	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Annulatascales	Fungi	Ascomycota	Sordariomycetes	Annulatascales	1
1109	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	Fungi	Ascomycota	Dothideomycetes	Dothideales	1
1110	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales	Fungi	Ascomycota	Dothideomycetes	Hysteriales	1
1111	Root;k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	1
1112	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Chrysanthemodiscales	Chromista	Ochrophyta	Bacillariophyceae	Chrysanthemodiscales	1
1113	Root;k__Chromista;p__Foraminifera;c__;o__Involutinida	Chromista	Foraminifera		Involutinida	1
1114	Root;k__Fungi;p__;c__;o__	Fungi				1
1115	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Meliolales	Fungi	Ascomycota	Sordariomycetes	Meliolales	1
1116	Root;k__Fungi;p__Ascomycota;c__Lichinomycetes;o__Lichinales	Fungi	Ascomycota	Lichinomycetes	Lichinales	1
1117	Root;k__Protozoa;p__Microsporidia;c__Microsporea;o__	Protozoa	Microsporidia	Microsporea		1
1118	Root;k__Chromista;p__Ciliophora;c__Heterotrichea;o__Heterotrichida	Chromista	Ciliophora	Heterotrichea	Heterotrichida	1
1119	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Lichenotheliales	Fungi	Ascomycota	Dothideomycetes	Lichenotheliales	1
