"kingdom","order","count"
"Animalia","Asaphida",987
"Fungi","Ascosphaerales",30
"Fungi","Asellariales",14
"Viruses","Asfuvirales",1
"Plantae","Asparagales",44812
"Animalia","Aspidodiadematoida",23
"Animalia","Aspidogastrida",65
"Animalia","Aspidosiphoniformes",29
"Plantae","Asterales",45742
"Fungi","Asterinales",1619
"Chromista","Asterocladales",1
"Chromista","Asterolamprales",163
"Fungi","Asterotexales",2
"Chromista","Astomatida",217
"Chromista","Astrorhizida",1218
"Bacteria","ATCC43930",21
"Animalia","Ateleopodiformes",15
"Fungi","Atheliales",113
"Animalia","Atheriniformes",436
"Bacteria","ATN3",1
"Fungi","Atractiellales",73
"Fungi","Atractosporales",18
"Bacteria","Atribacterales",10
"Plantae","Aulacomniales",13
"Animalia","Aulacopleurida",59
"Chromista","Aulacoseirales",107
"Animalia","Aulopiformes",440
"Fungi","Aureoconidiellales",1
"Fungi","Auriculariales",397
"Plantae","Austrobaileyales",109
"Animalia","Axinellida",620
"Bacteria","Azospirillales",49
"Bacteria","B11-G9",2
"Bacteria","B119-G9",1
"Bacteria","B13-G15",7
"Bacteria","B142",5
"Bacteria","B1SED10-174",6
"Bacteria","B21-G15",1
"Bacteria","B21-G16",1
"Bacteria","B21-G9",1
"Bacteria","B22-G15",2
"Archaea","B24",9
"Archaea","B25",5
"Archaea","B26-1",68
"Bacteria","B26-G9",7
"Bacteria","B28-G17",1
"Archaea","B29-G17",6
"Bacteria","B3-G13",2
"Bacteria","B3-TA06",5
"Archaea","B31-G17",1
"Archaea","B33-G15",4
"Bacteria","B4-G1",29
"Archaea","B47-G6B",2
"Bacteria","B48-G9",6
"Bacteria","B68-G9",3
"Bacteria","B70-G9",2
"Archaea","B87-G9",1
"Bacteria","Babeliales",56
"Bacteria","Bac17",1
"Bacteria","Bacillales",392
"Bacteria","Bacillales_A",161
"Bacteria","Bacillales_B",134
"Bacteria","Bacillales_C",5
"Bacteria","Bacillales_D",230
"Bacteria","Bacillales_E",2
"Bacteria","Bacillales_G",43
"Bacteria","Bacillales_H",74
"Chromista","Bacillariales",1917
"Bacteria","Bacteriovoracales",49
"Bacteria","Bacteroidales",1907
"Fungi","Baeomycetales",218
"Animalia","Baerida",24
"Plantae","Balbianiales",1
"Archaea","Baldrarchaeales",3
"Plantae","Balliales",3
"Bacteria","Balneolales",96
"Bacteria","Baltobacterales",40
"Plantae","Bangiales",98
"Viruses","Baphyvirales",31
"Plantae","Bartramiales",282
"Fungi","Basidiobolales",8
"Animalia","Bathynellacea",164
"Animalia","Bathyteuthida",10
"Fungi","Batistiales",3
"Animalia","Batrachoidiformes",93
"Plantae","Batrachospermales",85
"Bacteria","BD1-5",29
"Animalia","Bdelloidea",422
"Bacteria","Bdellovibrionales",47
"Bacteria","Beggiatoales",26
"Animalia","Belemnitida",205
"Viruses","Belfryvirales",2
"Animalia","Beloniformes",333
"Plantae","Berberidopsidales",4
"Bacteria","Berkiellales",3
"Animalia","Beroida",30
"Animalia","Beryciformes",308
"Fungi","Bezerromycetales",5
"Chromista","Biddulphiales",491
"Animalia","Biemnida",108
"Protozoa","Bihospitida",1
"Bacteria","Bin125",5
"Bacteria","Bin18",9
"Bacteria","Bin61",5
"Bacteria","Bin65",6
"Bacteria","Bin95",2
"Bacteria","Bin98",1
"Bacteria","Binatales",6
"Bacteria","Bipolaricaulales",19
"Animalia","Bivalvulida",750
"Plantae","Blasiales",4
"Fungi","Blastocladiales",135
"Chromista","Blastodiniales",9
"Animalia","Blattodea",9622
"Viruses","Blubervirales",18
"Bacteria","BM002",2
"Bacteria","BM003",1
"Bacteria","BM507",54
"Bacteria","BMS3ABIN01",6
"Animalia","Bochusacea",6
"Protozoa","Bodonida",13
"Fungi","Boletales",2589
"Chromista","Bolidomonadales",1
"Fungi","Boliniales",84
"Plantae","Bonnemaisoniales",22
"Plantae","Boraginales",3828
"Archaea","Borrarchaeales",4
"Bacteria","Borreliales",51
"Animalia","Bothriocephalidea",180
"Animalia","Bothriocidaroida",11
"Animalia","Bothrioplanida",4
"Chromista","Botrydiales",7
"Fungi","Botryosphaeriales",4614
"Animalia","Brachypoda",12
"Bacteria","Brachyspirales",12
"Bacteria","Bradymonadales",14
"Animalia","Branchiobdellida",157
"Plantae","Brassicales",6029
"Bacteria","Brevibacillales",29
"Bacteria","Brevinematales",6
"Animalia","Brisingida",113
"Bacteria","Brocadiales",28
"Plantae","Bruniales",94
"Plantae","Bryales",1107
"Bacteria","Bryobacterales",66
"Chromista","Bryometopida",30
"Chromista","Bryophryida",8
"Plantae","Bryopsidales",345
"Plantae","Bryoxiphiales",4
"Bacteria","Bu52",1
"Animalia","Bubarida",155
"Animalia","Bucerotiformes",81
"Bacteria","Buchananbacterales",11
"Fungi","Buckleyzymales",5
"Viruses","Bunyavirales",1026
"Archaea","Burarchaeales",2
"Bacteria","Burkholderiales",1854
"Chromista","Bursariomorphida",53
"Animalia","Bursovaginoidea",74
"Plantae","Buxales",147
"Plantae","Buxbaumiales",12
"Bacteria","C00003060",10
"Archaea","CABMEP01",2
"Bacteria","CACEW01",2
"Bacteria","CACJXQ01",2
"Bacteria","CADAEX01",10
"Bacteria","CADAWZ01",2
"Bacteria","CADDZG01",12
"Bacteria","CADDZV01",1
"Bacteria","CADEGL01",2
"Bacteria","Caedimonadales",12
"Bacteria","Caenarcaniphilales",6
"Bacteria","CAIKKV01",8
"Bacteria","CAILAD01",6
"Archaea","CAILAH01",2
"Bacteria","CAILIB01",2
