"kingdom","order","count"
"Animalia","Euryalida",248
"Animalia","Eurypygiformes",3
"Chromista","Eustigmatales",17
"Protozoa","Eutreptiida",17
"Bacteria","Euzebyales",18
"Bacteria","Evansiales",2
"Archaea","EX4484-135",3
"Archaea","EX4484-217-1",2
"Bacteria","Exiguobacterales",23
"Fungi","Exobasidiales",197
"Bacteria","F11",7
"Plantae","Fabales",25925
"Plantae","Fagales",2652
"Fungi","Falcocladiales",7
"Animalia","Falconiformes",119
"Animalia","Fecampiida",17
"Animalia","Fenestrida",2748
"Bacteria","Fermentibacterales",9
"Bacteria","Ferrovibrionales",5
"Bacteria","Fibrobacterales",21
"Fungi","Filobasidiales",93
"Animalia","Filospermoidea",28
"Bacteria","Fimbriimonadales",31
"Bacteria","Flavobacteriales",1619
"Chromista","Florenciellales",3
"Animalia","Flosculariaceae",182
"Animalia","Forcipulatida",320
"Animalia","Fordillida",12
"Plantae","Fossombroniales",110
"Chromista","Fragilariales",1415
"Bacteria","Francisellales",29
"Fungi","Franziozymales",1
"Chromista","Fucales",208
"Plantae","Funariales",242
"Fungi","Fuscosporellales",20
"Bacteria","Fusobacteriales",89
"Chromista","Fusulinida",7083
"Bacteria","FW602-bin16",1
"Bacteria","Ga0077536",13
"Bacteria","Ga0077536_A",1
"Bacteria","Ga0077554",4
"Animalia","Gadiformes",908
"Animalia","Gadilida",342
"Bacteria","Gaiellales",47
"Animalia","Galeommatida",858
"Animalia","Galliformes",448
"Animalia","Ganeshida",2
"Plantae","Garryales",32
"Animalia","Gasterosteiformes",81
"Bacteria","Gastranaerophilales",137
"Animalia","Gastrochaenida",66
"Animalia","Gaviiformes",23
"Archaea","Gearchaeales",4
"Fungi","Geastrales",172
"Plantae","Gelidiales",113
"Animalia","Gelyelloida",2
"Fungi","Geminibasidiales",5
"Bacteria","Geminicoccales",10
"Bacteria","Gemmatales",44
"Bacteria","Gemmatimonadales",107
"Plantae","Gentianales",25388
"Bacteria","Geobacterales",100
"Fungi","Geoglossales",109
"Animalia","Geophilomorpha",1457
"Fungi","Georgefischeriales",47
"Archaea","Geothermarchaeales",4
"Bacteria","Geothermincolales",10
"Bacteria","Geothermocultorales",1
"Viruses","Geplafuvirales",758
"Plantae","Geraniales",1041
"Viruses","Ghabrivirales",97
"Bacteria","GIF10",47
"Bacteria","GIF9",46
"Animalia","Gigantorhynchida",70
"Plantae","Gigartinales",653
"Plantae","Gigaspermales",7
"Plantae","Ginkgoales",393
"Plantae","Glaucocystales",5
"Plantae","Glaucosphaerales",4
"Plantae","Gleicheniales",299
"Bacteria","Gloeobacterales",6
"Bacteria","Gloeomargaritales",2
"Fungi","Gloeophyllales",59
"Fungi","Glomerales",163
"Fungi","Glomerellales",830
"Animalia","Glomerida",359
"Animalia","Glomeridesmida",36
"Animalia","Glosselytrodea",54
"Protozoa","Glugeida",320
"Bacteria","GM7ARS4",2
"Bacteria","GN15",19
"Plantae","Gnetales",109
"Animalia","Gnosonesimida",6
"Animalia","Gobiesociformes",195
"Animalia","Golfingiiformes",104
"Fungi","Gomphales",553
"Animalia","Goniatitida",2158
"Animalia","Gonorynchiformes",61
"Chromista","Gonyaulacales",736
"Animalia","Gordioidea",415
"Viruses","Goujianvirales",4
"Bacteria","Gp22-AA2",7
"Bacteria","Gp7-AA8",13
"Plantae","Gracilariales",130
"Bacteria","Granulosicoccales",7
"Fungi","Graphidales",20
"Plantae","Grimmiales",504
"Fungi","Gromochytriales",2
"Chromista","Grossglockneriida",11
"Animalia","Gruiformes",436
"Animalia","Grylloblattodea",733
"Archaea","Gugararchaeales",1
"Plantae","Gunnerales",107
"Archaea","GW2011-AR5",26
"Bacteria","GWA2-35-9",5
"Bacteria","GWA2-38-13b",1
"Bacteria","GWA2-43-13",2
"Bacteria","GWA2-44-7",50
"Bacteria","GWA2-46-9",3
"Bacteria","GWA2-47-26",3
"Bacteria","GWA2-58-10",2
"Bacteria","GWB1-36-13",1
"Bacteria","GWC2-36-17",8
"Bacteria","GWF2-35-9",4
"Bacteria","GWF2-39-127",1
"Fungi","Gyalectales",116
"Chromista","Gymnodiniales",492
"Animalia","Gymnophiona",238
"Animalia","Gymnotiformes",280
"Animalia","Gyracanthocephala",125
"Animalia","Gyrocotylidea",14
"Animalia","Gyrodactylidea",695
"Bacteria","H02-48-17",1
"Bacteria","H5-PLA8",2
"Bacteria","H5-UNCL2",1
"Archaea","Hadarchaeales",11
"Animalia","Hadrosida",71
"Chromista","Haemospororida",19
"Bacteria","Hakubanellales",1
"Bacteria","Halanaerobiales",33
"Bacteria","Haliangiales",27
"Animalia","Halicryptomorpha",2
"Archaea","Halobacteriales",370
"Bacteria","Halobacteroidales",22
"Animalia","Halocyprida",549
"Viruses","Halopanivirales",14
"Bacteria","Haloplasmatales",5
"Bacteria","Haloplasmatales_A",5
"Viruses","Haloruvirales",16
"Plantae","Halosphaerales",20
"Fungi","Halosphaeriales",1
"Bacteria","Halothiobacillales",13
"Chromista","Halteriida",26
"Plantae","Halymeniales",126
"Animalia","Haplobothriidea",2
"Animalia","Haplosclerida",1170
"Protozoa","Haplosporida",35
"Animalia","Haplotaxida",67
"Chromista","Haptoglossales",12
"Chromista","Haptorida",222
"Animalia","Harpacticoida",5170
"Fungi","Harpellales",268
"Animalia","Harpetida",135
"Bacteria","Hat2",1
"Plantae","Hedwigiales",47
"Archaea","Helarchaeales",7
"Fungi","Helicobasidiales",34
"Plantae","Helicophyllales",1
"Bacteria","Heliobacteriales",14
"Animalia","Heliolitina",16
"Fungi","Helotiales",9273
"Chromista","Hemiaulales",342
"Animalia","Hemiptera",109904
"Viruses","Hepelivirales",32
"Archaea","Hermodarchaeles",6
"Viruses","Herpesvirales",265
"Fungi","Herpomycetales",27
"Animalia","Heteramorphida",1
"Animalia","Heterodontiformes",64
"Fungi","Heterogastridiales",4
"Chromista","Heterogloeales",6
"Animalia","Heteronemertea",494
"Chromista","Heterotrichida",701
"Animalia","Hexamerocerata",8
"Animalia","Hexanchiformes",52
"Bacteria","HGM11327",5
"Bacteria","HGM11514",2
"Chromista","Hibberdiales",32
"Plantae","Hildenbrandiales",12
"Protozoa","Himatismenida",5
"Bacteria","HIMB59",168
"Animalia","Hippuritida",451
"Bacteria","HK1",6
"Archaea","Hodarchaeales",6
"Animalia","Hoilungea",2
"Animalia","Holasteroida",245
"Animalia","Holectypoida",63
"Protozoa","Holomastigida",1
"Bacteria","Holophagales",14
"Bacteria","Holosporales",8
"Animalia","Holothuriida",249
"Animalia","Holothyrida",31
"Fungi","Holtermanniales",8
"Animalia","Homosclerophorida",136
"Plantae","Hookeriales",617
"Bacteria","HP12",1
"Bacteria","HR10",7
"Bacteria","HRBIN30",7
"Bacteria","HTCC5015",3
"Archaea","Huberarchaeales",1
"Plantae","Huerteales",32
"Bacteria","Humimicrobiales",18
"Bacteria","Hydrogenedentiales",41
"Bacteria","Hydrogenothermales",18
"Bacteria","Hydrothermales",1
"Archaea","Hydrothermarchaeales",14
"Chromista","Hydrurales",4
"Fungi","Hymeneliales",72
"Fungi","Hymenochaetales",1503
"Plantae","Hymenophyllales",641
"Animalia","Hymenoptera",151666
"Chromista","Hymenostomatida",411
"Animalia","Hyocrinida",33
"Chromista","Hyphochytriales",25
"Plantae","Hypnales",4420
"Plantae","Hypnodendrales",91
"Fungi","Hypocreales",6487
"Animalia","Hypoperlida",5
"Plantae","Hypopterygiales",28
"Animalia","Hyracoidea",77
"Fungi","Hysterangiales",154
"Fungi","Hysteriales",247
"Archaea","Iainarchaeales",47
"Plantae","Icacinales",207
"Animalia","Idiosepida",7
"Bacteria","Ignavibacteriales",66
"Archaea","IMC4",19
"Bacteria","IMCC26256",21
"Viruses","Imitervirales",24
"Bacteria","Immundisolibacterales",5
"Chromista","Involutinida",252
"Chromista","Ishigeales",2
"Chromista","Isochrysidales",24
"Animalia","Isocrinida",166
"Plantae","Isoetales",264
"Animalia","Isolaimida",13
"Animalia","Isopoda",11494
"Bacteria","Isosphaerales",18
"Animalia","Ixodida",1014
"Bacteria","Izemoplasmatales",66
"Bacteria","J002",1
"Bacteria","J025",1
"Bacteria","J040",2
"Bacteria","J044",1
"Bacteria","J045",3
"Bacteria","J048",1
"Bacteria","J057",4
"Bacteria","J063",1
"Bacteria","J102",10
"Bacteria","J103",1
"Bacteria","J113",1
"Bacteria","J137",3
"Bacteria","JAABTG01",2
"Bacteria","JAABVY01",5
"Bacteria","JAACEG01",2
"Bacteria","JAACET01",1
"Bacteria","JAADDB01",5
"Archaea","JAADDC01",5
"Bacteria","JAADFJ01",1
"Bacteria","JAADFP01",1
"Bacteria","JAADGH01",1
"Bacteria","JAADGQ01",2
"Bacteria","JAADGY01",2
"Bacteria","JAADHQ01",2
"Bacteria","JAADHS01",1
"Bacteria","JAADJB01",1
"Bacteria","JAAEKA01",2
"Bacteria","JAAKFQ01",1
"Archaea","JAANXF01",1
"Bacteria","JAAOII01",1
"Fungi","Jaapiales",3
"Bacteria","JAAXGF01",1
"Bacteria","JAAYCJ01",3
"Bacteria","JAAYEA01",1
"Bacteria","JAAYHZ01",1
"Bacteria","JAAYKD01",3
"Bacteria","JAAYKL01",6
"Bacteria","JAAYSF01",1
"Bacteria","JAAYUB01",4
"Bacteria","JAAYUI01",5
"Bacteria","JAAYXC01",1
"Bacteria","JAAYZQ01",4
"Bacteria","JAAZAB01",8
"Bacteria","JAAZEB01",4
"Bacteria","JAAZLZ01",3
"Bacteria","JABABF01",1
"Bacteria","JABCZS01",2
"Bacteria","JABDDW01",2
"Bacteria","JABDGN01",3
"Bacteria","JABDJR01",1
"Bacteria","JABDLF01",1
"Bacteria","JABDMI01",2
"Bacteria","JABEVK01",2
"Bacteria","JABGRK01",1
"Bacteria","JABGVJ01",1
"Bacteria","JABHGC01",2
"Bacteria","JABIPA01",2
"Archaea","JABLTI01",8
"Bacteria","JABLXB01",2
"Bacteria","JABMQE01",2
"Bacteria","JABMQH01",1
"Bacteria","JABMQR01",3
"Bacteria","JABMRG01",3
"Bacteria","JABMRJ01",3
"Bacteria","JABMRN01",6
"Bacteria","JABMSA01",1
"Bacteria","JABSOH01",6
"Bacteria","JABSQK01",1
"Bacteria","JABURT01",2
"Bacteria","JABWAM01",3
"Bacteria","JABWBI01",2
"Bacteria","JABWCM01",1
"Bacteria","JABXHR01",1
"Bacteria","JACAEB01",1
"Bacteria","JACCUZ01",1
"Bacteria","JACCXJ01",2
"Bacteria","JACCXV01",1
"Bacteria","JACCYU01",2
"Bacteria","JACCYY01",1
"Bacteria","JACDCP01",1
"Bacteria","JACDOE01",1
"Archaea","JACIWG01",1
"Bacteria","JACIWP01",1
"Bacteria","JACIWR01",1
"Bacteria","JACIYH01",1
"Bacteria","JACIZP01",3
"Bacteria","JACMPN01",1
"Bacteria","JACNKJ01",3
"Bacteria","JACOSC01",1
"Bacteria","JACOVV01",1
"Bacteria","JACOXK01",2
"Bacteria","JACOXO01",1
"Bacteria","JACPCR01",1
"Bacteria","JACPEP01",1
"Bacteria","JACPHC01",1
"Bacteria","JACPHY01",1
"Bacteria","JACPKC01",2
"Bacteria","JACPL01",1
"Bacteria","JACPPT01",1
"Bacteria","JACPPY01",2
"Bacteria","JACPQD01",1
"Bacteria","JACPQF01",1
"Bacteria","JACPQK01",2
"Bacteria","JACPQL01",1
"Bacteria","JACPQR01",1
"Bacteria","JACPRG01",1
"Bacteria","JACPRK01",5
"Bacteria","JACPRU01",1
"Bacteria","JACPXH01",1
"Bacteria","JACPZF01",2
"Bacteria","JACPZX01",1
"Archaea","JACPZZ01",5
"Bacteria","JACQBW01",3
"Bacteria","JACQBZ01",4
"Bacteria","JACQCE01",1
"Bacteria","JACQGW01",1
"Bacteria","JACQHA01",1
"Bacteria","JACQJE01",1
"Bacteria","JACQJN01",2
"Bacteria","JACQJP01",1
"Bacteria","JACQLN01",2
"Bacteria","JACQLU01",1
"Bacteria","JACQOE01",1
"Bacteria","JACQPE01",4
"Archaea","JACQPN01",1
"Archaea","JACQPP01",1
"Bacteria","JACQPQ01",1
"Archaea","JACQQB01",1
"Bacteria","JACQQS01",1
"Bacteria","JACQQV01",1
"Bacteria","JACQRZ01",7
"Bacteria","JACQSD01",1
"Bacteria","JACQTF01",1
"Bacteria","JACQTR01",1
"Bacteria","JACQTT01",1
"Bacteria","JACQUA01",1
"Bacteria","JACQUD01",1
"Bacteria","JACQUE01",1
"Bacteria","JACQUS01",1
"Bacteria","JACQVU01",1
"Bacteria","JACQXL01",4
"Bacteria","JACQXS01",1
"Bacteria","JACRCY01",1
"Bacteria","JACRDY01",1
"Bacteria","JACREF01",1
"Archaea","JACRGF01",1
"Bacteria","JACRGQ01",4
"Bacteria","JACRGW01",1
"Bacteria","JACRHA01",1
"Bacteria","JACRHJ01",1
"Bacteria","JACRHK01",1
"Bacteria","JACRJV01",1
"Bacteria","JACRMK01",2
"Bacteria","JACROU01",2
"Bacteria","JACVQG01",3
"Bacteria","JADFCT01",1
"Bacteria","JADFCW01",2
"Bacteria","JADGBV01",1
"Bacteria","JADHYG01",1
"Bacteria","JADJWH01",2
"Bacteria","JADQBR01",3
"Bacteria","JAEEML01",1
"Bacteria","JAENJB01",1
"Bacteria","JAEUKQ01",2
"Bacteria","JAEULC01",1
"Bacteria","JAEULF01",1
"Bacteria","JAFEDO01",1
"Bacteria","JAFGBY01",1
"Bacteria","JAFGDC01",1
"Bacteria","JAFGDJ01",1
"Bacteria","JAFGEP01",1
"Bacteria","JAFGEY01",4
"Bacteria","JAFGGJ01",1
"Bacteria","JAFGGP01",1
"Bacteria","JAFGHF01",3
"Bacteria","JAFGHX01",1
"Bacteria","JAFGIU01",1
"Bacteria","JAFGJP01",1
"Bacteria","JAFGJU01",1
"Bacteria","JAFGLO01",1
"Archaea","JAFGOX01",1
"Bacteria","JAFGQG01",2
"Archaea","JAFGQM01",1
"Bacteria","JAFGXH01",1
"Bacteria","JAFGXN01",1
"Bacteria","JAGOAT01",1
"Bacteria","JAGOGO01",2
"Bacteria","JAGOUN01",1
"Bacteria","JAGOUU01",1
"Bacteria","JAGOZY01",2
"Bacteria","JAGPBS01",1
"Bacteria","JAGPKW01",1
"Bacteria","JAHCSD01",1
"Archaea","JAHENH01",1
"Bacteria","JAHIPI01",3
"Bacteria","JAHISY01",1
"Bacteria","JAHIVN01",2
"Bacteria","JAHJFT01",1
"Bacteria","JAHJGZ01",2
"Bacteria","JAHJIN01",1
"Bacteria","JAHJIW01",1
"Bacteria","JAHJQQ01",3
"Bacteria","JAHJRV01",1
"Bacteria","JAHJRZ01",1
"Bacteria","JAHJSF01",1
"Fungi","Jahnulales",50
"Protozoa","Jakobida",1
"Bacteria","JAQUO01",1
"Bacteria","JC228",1
"Bacteria","JC444",7
"Bacteria","Jiangellales",20
"Viruses","Jingchuvirales",59
"Fungi","Jobellisiales",8
"Archaea","Jordarchaeales",3
"Animalia","Julida",1636
"Plantae","Jungermanniales",3354
"Viruses","Kalamavirales",23
"Bacteria","Kapabacteriales",55
"Chromista","Karyorelictida",5
"Animalia","Kentrogonida",251
"Animalia","Kentrorhagata",39
"Animalia","Kermasida",9
"Fungi","Kickxellales",44
"Chromista","Kiitrichida",5
"Bacteria","Kiloniellales",26
"Animalia","Kirengellida",45
"Bacteria","Kiritimatiellales",13
"Plantae","Klebsormidiales",30
"Bacteria","Koleobacterales",3
"Fungi","Koralionastetales",14
"Archaea","Korarchaeales",9
"Fungi","Kriegeriales",20
"Bacteria","Krumholzibacteriales",9
"Bacteria","Kryptoniales",4
"Bacteria","KS3-K002",9
"Bacteria","Ktedonobacterales",28
"Bacteria","Kyrpidiales",2
"Fungi","Laboulbeniales",2395
"Chromista","Labyrinthulida",15
"Bacteria","Lachnospirales",1434
"Bacteria","Lactobacillales",896
"Animalia","Lagarocotylidea",1
"Chromista","Lagenida",664
"Chromista","Lagenismatales",1
"Animalia","Lagomorpha",266
"Fungi","Lahmiales",3
"Plantae","Lamiales",31585
"Chromista","Laminariales",85
"Animalia","Lamniformes",320
"Animalia","Lampriformes",44
"Plantae","Langiophytales",7
"Bacteria","Latescibacterales",3
"Plantae","Laurales",4275
"Animalia","Laurida",64
"Fungi","Lauriomycetales",11
"Bacteria","LBFQ01",8
"Bacteria","LD1-PB3",16
"Animalia","Lecanicephalidea",178
"Fungi","Lecanorales",7290
"Fungi","Lecideales",623
"incertae sedis","Lefavirales",210
"Bacteria","Legionellales",96
"Plantae","Leiosporocerotales",1
"Fungi","Lembosinales",26
"Bacteria","Lentisphaerales",3
"Fungi","Leotiales",265
"Animalia","Leperditicopida",10
"Animalia","Lepetellida",1343
"Animalia","Lepidopleurida",295
"Animalia","Lepidoptera",181487
"Fungi","Lepidostromatales",15
"Animalia","Lepisosteiformes",57
"Chromista","Leptocylindrales",9
"Bacteria","Leptolyngbyales",127
"Chromista","Leptomitales",46
"Protozoa","Leptomyxida",3
"Animalia","Leptosomiformes",1
"Bacteria","Leptospirales",50
"Bacteria","Leptospirillales",5
"Animalia","Leptostraca",71
"Animalia","Leptothecata",2399
"Animalia","Leucosolenida",620
"Fungi","Leucosporidiales",12
"Bacteria","Levybacterales",48
"Fungi","Lichenoconiales",17
"Fungi","Lichenostigmatales",40
"Fungi","Lichenotheliales",19
"Animalia","Lichida",536
"Fungi","Lichinales",394
"Fungi","Lichinodiales",2
"Chromista","Licmophorales",181
"Chromista","Licnophorida",12
"Viruses","Ligamenvirales",29
"Plantae","Liliales",2264
"Animalia","Limida",663
"Bacteria","Limnochordales",6
"Bacteria","Limnochordales_A",5
"Bacteria","Limnocylindrales",42
"Animalia","Limnognathida",1
"Animalia","Limnomedusae",70
"Fungi","Lineolatales",1
"Animalia","Lingulida",478
"Animalia","Lithobiomorpha",1251
"Chromista","Lithodesmiales",81
"Animalia","Lithonida",29
"Animalia","Litobothriidea",9
"Animalia","Littorinimorpha",19677
"Chromista","Lituolida",3952
"Animalia","Lobata",46
"Fungi","Lobulomycetales",7
"Chromista","Loftusiida",1106
"Bacteria","Longimicrobiales",72
"Animalia","Lophiiformes",482
"Chromista","Lophodiniales",2
"Animalia","Lophogastrida",64
"Chromista","Loxodida",59
"Animalia","Lucinida",1282
"Fungi","Lulworthiales",63
"Animalia","Lumbriculida",278
"Plantae","Lunulariales",1
"Bacteria","Lutisporales",6
"Animalia","Lychniscosida",178
"Plantae","Lycopodiales",676
"Plantae","Lyonophytales",2
"Chromista","Lyrellales",26
"Animalia","Lyssacinosida",420
"Bacteria","LZORAL124-64-63",18
"Bacteria","M30B25",1
"Bacteria","M55B111",5
"Bacteria","M55B152",1
"Animalia","Macroscelidea",62
"Bacteria","Magasanikbacterales",62
"Fungi","Magnaporthales",303
"Bacteria","Magnetococcales",42
"Plantae","Magnoliales",3988
"Bacteria","Mahellales",2
"Animalia","Malacalcyonacea",2805
"Fungi","Malasseziales",23
"Plantae","Malpighiales",21944
"Plantae","Malvales",8407
"Plantae","Mamiellales",15
"Animalia","Mantodea",2722
"Animalia","Mantophasmatodea",36
"Plantae","Marattiales",243
"Plantae","Marchantiales",551
"Bacteria","Marinisomatales",70
"Animalia","Mariplanellida",4
"Bacteria","Mariprofundales",22
"Archaea","Marsarchaeales",4
"Plantae","Marsupiomonadales",1
"Viruses","Martellivirales",248
"Chromista","Mastogloiales",478
"Animalia","Mazocraeidea",987
"Bacteria","MC1",1
"Bacteria","Mcinerneyibacteriales",3
"Animalia","Mecoptera",1540
"Fungi","Medeolariales",1
"Animalia","Megalodontida",183
"Animalia","Megaloptera",432
"Animalia","Meganisoptera",42
"Animalia","Megasecoptera",107
"Protozoa","Meiodihaplophasida",326
"Animalia","Meiopriapulomorpha",1
"Fungi","Melanosporales",245
"Animalia","Melicerititida",116
"Fungi","Meliolales",2516
"Chromista","Melosirales",755
"Animalia","Merliida",47
"Animalia","Mermithida",684
"Animalia","Mesitornithiformes",3
"Bacteria","Mesoaciditogales",7
"Animalia","Mesostigmata",8189
"Plantae","Mesostigmatales",1
"Protozoa","Metchnikovellida",30
"Archaea","Methanobacteriales",147
"Archaea","Methanocellales",5
"Archaea","Methanococcales",21
"Archaea","Methanofastidiosales",7
"Archaea","Methanoliparales",4
"Archaea","Methanomassiliicoccales",88
"Archaea","Methanomethylicales",8
"Archaea","Methanomicrobiales",97
"Archaea","Methanonatronarchaeales",4
"Archaea","Methanopyrales",2
"Archaea","Methanosarcinales",73
"Archaea","Methanosarcinales_A",1
"Archaea","Methanotrichales",11
"Bacteria","Methylacidiphilales",33
"Bacteria","Methylococcales",154
"Bacteria","Methylomirabilales",16
"Plantae","Metteniusales",67
"Plantae","Metzgeriales",461
"Archaea","Mgiii",20
"Bacteria","Micavibrionales",60
"Archaea","Micrarchaeales",8
"Fungi","Micraspidales",4
"Fungi","Microascales",1048
"Animalia","Microbiotheria",17
"Fungi","Microbotryales",169
"Bacteria","Micropepsales",11
"Animalia","Micropygoida",2
"Fungi","Microstromatales",53
"Plantae","Microthamniales",1
"Fungi","Microthyriales",996
"Chromista","Miliolida",4427
"Animalia","Millericrinida",81
"Bacteria","Miltoncostaeales",19
"Viruses","Mindivirales",14
"Protozoa","Ministeriida",1
"Fungi","Minutisphaerales",28
"Bacteria","Minwuiales",2
"Animalia","Miomoptera",52
"Chromista","Mischococcales",156
"Animalia","Misophrioida",37
"Fungi","Mixiales",1
"Bacteria","ML615J-28",38
"Bacteria","MnTg04",1
"Animalia","Modiomorphida",191
"Bacteria","Moduliflexales",3
"Plantae","Moellerinales",1
"Animalia","Molpadida",117
"Animalia","Monhysterida",1298
"Fungi","Moniliellales",19
"Animalia","Moniliformida",23
"Animalia","Moniligastrida",193
"Fungi","Monoblastiales",115
"Fungi","Monoblepharidales",36
"Animalia","Monocotylidea",219
"Bacteria","Monoglobales",47
"Animalia","Mononchida",506
"Viruses","Mononegavirales",960
"Animalia","Monostilifera",624
"Animalia","Monotremata",23
"Animalia","Monstrilloida",179
"Animalia","Montchadskyellidea",1
"Bacteria","Moorellales",14
"Bacteria","Moranbacterales",76
"Animalia","Mormonilloida",4
"Fungi","Mortierellales",153
"Bacteria","Motilibacterales",4
"Bacteria","MPNO01",15
"Fungi","Mucorales",413
"Animalia","Mugiliformes",137
"Bacteria","Muirbacteriales",1
"Viruses","Mulpavirales",17
"Animalia","Multivalvulida",121
"Animalia","Musophagiformes",23
"Animalia","Muspiceida",15
"Viruses","Muvirales",16
"Fungi","Muyocopronales",85
"Bacteria","MVZB01",1
"Bacteria","MWAK01",2
"Bacteria","MWCT01",2
"Bacteria","MWEM01",2
"Animalia","Myalinida",1160
"Bacteria","Mycobacteriales",1471
"Fungi","Mycocaliciales",151
"Bacteria","Mycoplasmatales",309
"Fungi","Mycosphaerellales",7224
"Animalia","Myctophiformes",460
"Animalia","Myida",1314
"Animalia","Myliobatiformes",507
"Animalia","Myodocopida",1042
"Animalia","Myopsida",53
"Fungi","Myriangiales",411
"Fungi","Myrmecridiales",29
"Plantae","Myrtales",16720
"Animalia","Mysida",1317
"Animalia","Mystacocaridida",13
"Animalia","Mytilida",1161
"Fungi","Mytilinidiales",187
"Animalia","Myxiniformes",93
"Bacteria","Myxococcales",89
"Plantae","Naiaditales",3
"Animalia","Nanaloricida",45
"Bacteria","Nannocystales",13
"Archaea","Nanoarchaeales",5
"Bacteria","Nanopelagicales",152
"Archaea","Nanosalinales",15
"Fungi","Naohideales",1
"Animalia","Narapida",1
"Animalia","Narcomedusae",92
"Chromista","Nassellaria",432
"Chromista","Nassulida",183
"Chromista","Nassulopsida",8
"Fungi","Natipusillales",4
"Protozoa","Natomonadida",36
"Bacteria","Natranaerobiales",5
"Bacteria","Nautiliales",14
"Animalia","Nautilida",1437
"Chromista","Naviculales",9432
"Bacteria","NDHX01",1
"Animalia","Nectiopoda",30
"Animalia","Nectopantopoda",1
"Animalia","Neelipleona",60
"Plantae","Nemaliales",153
"Plantae","Nemastomatales",34
"Animalia","Nemertodermatida",18
"Chromista","Nemodermatales",1
"Fungi","Neocallimastigales",45
"Fungi","Neocelosporiales",2
"Fungi","Neodactylariales",2
"Animalia","Neoechinorhynchida",186
"Animalia","Neogastropoda",26217
"Plantae","Neohodgsoniales",1
"Fungi","Neolectales",5
"Animalia","Neomphalida",62
"Fungi","Neophaeothecales",3
"Animalia","Neopilinida",31
"Bacteria","Neosynechococcales",1
"Fungi","Nephridiophagales",17
"Plantae","Nephroselmidales",13
"Animalia","Neuroptera",6994
"Bacteria","Nevskiales",42
"Archaea","Nezhaarchaeales",3
"Viruses","Nidovirales",134
"Animalia","Nippotaeniidea",6
"Bacteria","Nitriliruptorales",26
"Bacteria","Nitrococcales",33
"Bacteria","Nitrosococcales",23
"Archaea","Nitrososphaerales",111
"Bacteria","Nitrospinales",28
"Bacteria","Nitrospirales",112
"Bacteria","NMUJ01",1
"Chromista","Noctilucales",19
"Viruses","Nodamuvirales",11
"Chromista","Nodosariida",3884
"Archaea","Norongarragalinales",25
"Bacteria","NORP286",1
"Viruses","Norzivirales",426
"Animalia","Notacanthiformes",41
"Animalia","Notoryctemorphia",3
"Animalia","Notostraca",31
"Plantae","Notothyladales",71
"Fungi","Novakomycetales",1
"Bacteria","NS11-12g",61
"Protozoa","Nucleariida",12
"Animalia","Nuculanida",1233
"Animalia","Nuculida",613
"Animalia","Nudibranchia",3124
"Animalia","Nyctibiiformes",8
"Plantae","Nymphaeales",184
"Bacteria","O2-12-FULL-45-9",12
"Bacteria","Obscuribacterales",21
"Bacteria","Oceanibaculales",4
"Chromista","Ochromonadales",140
"Animalia","Octopoda",410
"Archaea","Odinarchaeales",1
"Animalia","Odonata",7524
"Animalia","Odontopleurida",3
"Chromista","Odontostomatida",48
"Plantae","Oedipodiales",1
"Plantae","Oedogoniales",273
"Animalia","Oegopsida",299
"Bacteria","OLB7",3
"Animalia","Olenellida",11
"Animalia","Oligacanthorhynchida",99
"Bacteria","Oligoflexales",16
"Chromista","Oligotrichida",345
"Fungi","Olpidiales",63
"Chromista","Olpidiopsidales",30
"Plantae","Oltmannsiellopsidales",2
"Bacteria","Omnitrophales",31
"Animalia","Onchoproteocephalidea",720
"Fungi","Onygenales",522
"Plantae","Oocystales",157
"Bacteria","OPB41",39
"Animalia","Ophiacanthida",650
"Animalia","Ophidiiformes",702
"Plantae","Ophioglossales",155
"Animalia","Ophioleucida",34
"Animalia","Ophioscolecida",77
"Fungi","Ophiostomatales",338
"Animalia","Opilioacarida",58
"Animalia","Opiliones",6834
"Animalia","Opisthocomiformes",4
"Bacteria","Opitutales",242
"Fungi","Orbiliales",830
"Animalia","Orectolobiformes",164
"Fungi","Orphellales",15
"Viruses","Ortervirales",338
"Animalia","Orthocerida",409
"Plantae","Orthodontiales",20
"Viruses","Orthopolintovirales",2
"Animalia","Orthoptera",30233
"Chromista","Orthoseirales",41
"Plantae","Orthotrichales",800
"Bacteria","Oscillospirales",2082
"Animalia","Osmeriformes",405
"Plantae","Osmundales",146
"Animalia","Osteoglossiformes",304
"Animalia","Ostreida",1939
"Fungi","Ostropales",3447
"Animalia","Otidiformes",38
"Viruses","Ourlivirales",162
"Plantae","Oxalidales",2236
"Protozoa","Oxymonadida",8
"Chromista","Oxyrrhinales",1
"Chromista","Oxytrichida",621
"Bacteria","Ozemobacterales",17
"Bacteria","P2-11E",25
"Archaea","Pacearchaeales",148
"Bacteria","Paceibacterales",121
"Fungi","Pachnocybales",4
"Bacteria","Paenibacillales",390
"Animalia","Palaeocopida",987
"Animalia","Palaeodictyoptera",298
"Animalia","Palaeoisopoda",1
"Animalia","Palaeopantopoda",1
"Plantae","Pallaviciniales",82
"Plantae","Palmariales",33
"Plantae","Palmophyllales",3
"Animalia","Palpigradi",124
"Chromista","Palpitida",1
"Bacteria","Palsa",1
"Bacteria","Pan216",1
"Plantae","Pandanales",1750
