OTU_ID,nr_authors,taxonomicResearchNeeded,cropWildRelatives,horizonInvasives,habitatsDir,marineDir,iasListConcern,redlistFull,birdDir,pollinators,numOfSpecies,order
110,362,2,0,0,0,0,0,0,0,0,4380,Entomobryomorpha
111,432,0,0,0,0,0,0,0,0,0,1903,Rhabdocoela
112,4,0,0,0,0,0,0,0,0,0,245,Holasteroida
113,19,0,0,0,0,0,0,0,0,0,500,Agoniatitida
114,0,0,0,0,0,0,0,0,0,0,540,Stomatopoda
115,1,5,0,0,0,0,0,0,0,0,187,Cuculiformes
116,27,56,0,0,0,25,2,8,8,0,438,Anseriformes
117,528,55,0,0,51,0,0,0,0,0,1798,Chiroptera
118,215,0,0,0,0,0,0,0,0,0,11032,Cheilostomatida
119,58,1,0,0,0,0,0,0,0,0,2268,Siphonaptera
122,0,0,0,0,0,0,0,0,0,0,39,Archinemertea
123,0,0,0,0,0,0,0,0,0,0,987,Asaphida
124,11,20,0,0,0,1,0,1,7,0,436,Gruiformes
125,45,2,0,0,0,0,0,0,0,0,2462,Characiformes
126,139,144,0,0,0,50,0,18,25,0,613,Charadriiformes
127,468,38,0,2,24,4,4,0,0,0,1736,Carnivora
128,112,31,0,0,1,0,0,0,0,0,2722,Mantodea
129,3,0,0,0,0,0,0,0,0,0,110,Verongiida
130,4,1,0,0,0,0,0,0,0,0,164,Orectolobiformes
132,180,11,0,0,1,0,0,0,0,0,11494,Isopoda
134,204,0,0,0,0,0,0,0,0,0,1636,Julida
135,341,1,0,0,0,0,0,0,0,0,3669,Poduromorpha
136,31,93,0,0,0,27,0,2,0,0,908,Gadiformes
137,13,0,0,0,0,0,0,0,0,0,795,Comatulida
138,35,2,0,0,2,0,0,1,0,0,1939,Ostreida
139,54,0,0,0,0,0,0,0,0,0,1354,Tubificida
140,4,5,0,0,0,0,0,0,0,0,2850,Calanoida
141,299,0,0,0,0,0,0,0,0,0,3616,Scorpiones
142,74,1,0,0,0,0,0,0,0,0,3124,Nudibranchia
143,61,36,0,0,0,10,0,5,0,0,537,Carcharhiniformes
144,53,0,0,0,0,0,0,0,0,0,1420,Pantopoda
145,20,4,0,0,0,0,0,0,1,0,128,Caprimulgiformes
147,21,1,0,0,0,0,0,0,0,0,404,Camarodonta
148,53,1,0,0,0,0,0,0,0,0,6735,Thysanoptera
149,0,0,0,0,0,0,0,0,0,0,178,Lecanicephalidea
150,31,32,0,0,0,0,0,0,0,0,2805,Malacalcyonacea
151,726,2,0,0,0,0,0,0,0,0,14632,Trichoptera
152,14,0,0,0,0,0,0,0,0,0,2430,Terebratulida
153,31,48,0,0,0,1,0,0,0,0,702,Ophidiiformes
154,37,0,0,0,0,0,0,0,0,0,1038,Amphilepidida
155,9,0,0,0,0,0,0,0,0,0,432,Megaloptera
156,479,2,0,1,0,0,0,0,0,0,5909,Crassiclitellata
157,3,2,0,0,0,0,0,0,1,0,23,Phoenicopteriformes
158,53,0,0,0,0,0,0,0,0,0,1227,Cyclophyllidea
159,82,32,0,0,0,0,0,0,0,0,8788,Scleractinia
160,87,0,0,0,0,0,0,0,0,0,834,Scolopendromorpha
163,43,0,0,0,0,0,0,0,0,0,1200,Symphypleona
164,156,0,0,0,0,0,0,0,0,0,1314,Tetractinellida
165,0,0,0,0,0,0,0,0,0,0,987,Palaeocopida
166,226,43,0,0,37,28,0,0,0,0,695,Cetacea
167,3,1,0,0,0,0,0,0,0,0,81,Bucerotiformes
168,32,0,0,0,0,0,0,0,0,0,922,Desmodorida
169,52,0,0,0,0,0,0,0,0,0,527,Proseriata
170,23,0,0,0,0,0,0,0,0,0,1643,Tanaidacea
171,152,41,0,1,28,0,0,10,0,0,922,Caudata
173,6,27,0,0,0,2,0,0,0,0,233,Sepiida
174,5,0,0,0,0,0,0,0,0,0,85,Cnemidolestodea
175,27,0,0,0,0,0,0,0,0,0,96,Sphenisciformes
176,4,0,0,0,0,0,0,0,0,0,158,Dasyuromorphia
177,5,0,0,0,0,0,0,0,0,0,446,Acoela
178,25,0,0,0,0,0,0,0,0,0,598,Paxillosida
179,2,15,0,0,0,0,0,0,0,0,142,Synallactida
180,8,0,0,0,0,0,0,0,0,0,138,Protocoleoptera
181,1,0,0,0,0,0,0,0,0,0,121,Multivalvulida
182,22,28,0,0,0,15,0,10,0,0,252,Squaliformes
183,25,33,0,0,0,3,0,0,0,0,299,Oegopsida
