OTU_ID	nr_authors	taxonomicResearchNeeded	cropWildRelatives	horizonInvasives	habitatsDir	marineDir	iasListConcern	redlistFull	birdDir	pollinators
1	6483.0	937.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	901.0
2	3816.0	19.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
3	23.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
4	941.0	476.0	0.0	8.0	15.0	62.0	4.0	24.0	0.0	0.0
5	443.0	59.0	0.0	7.0	4.0	0.0	7.0	0.0	0.0	0.0
6	8811.0	1916.0	0.0	6.0	0.0	0.0	5.0	78.0	0.0	2112.0
7	6849.0	539.0	0.0	1.0	47.0	0.0	0.0	41.0	0.0	1.0
8	351.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	14302.0	1617.0	0.0	7.0	55.0	0.0	0.0	131.0	0.0	0.0
10	64.0	15.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0
11	428.0	24.0	0.0	2.0	6.0	0.0	2.0	0.0	0.0	0.0
12	1091.0	2256.0	0.0	0.0	29.0	0.0	0.0	230.0	0.0	0.0
13	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	2121.0	1003.0	0.0	0.0	11.0	0.0	0.0	266.0	0.0	0.0
15	1995.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	1010.0	256.0	0.0	3.0	138.0	4.0	1.0	115.0	0.0	0.0
17	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	356.0	691.0	0.0	2.0	2.0	0.0	0.0	323.0	0.0	0.0
24	166.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	181.0	30.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
28	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	53.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	202.0	5.0	0.0	3.0	2.0	0.0	3.0	0.0	0.0	0.0
