species_name,kingdom,reason
Seladonia microcardia,redlist,No canonicalName found
Fritillaria messanensis,redlist,No canonicalName found
Stelis minuta,redlist,No canonicalName found
Stelis minima,redlist,No canonicalName found
Stelis gigantea,redlist,No canonicalName found
Eucera brachycera,redlist,No canonicalName found
Osmia ferruginea,redlist,No canonicalName found
Nomada cypria,redlist,No canonicalName found
Nomada umbrosa,redlist,No canonicalName found
Anthophora ventilabris,redlist,No canonicalName found
Salix alba,redlist,No canonicalName found
Lasioglossum haesitans,redlist,No canonicalName found
Histrio histrio,redlist,No canonicalName found
Mycteroperca caninus,redlist,No canonicalName found
Neogale vison,redlist,No canonicalName found
Nemozoma pliginskyi,redlist,No canonicalName found
Sphecodes algeriensis,redlist,No canonicalName found
Nomada cadiza,redlist,No canonicalName found
Thorectes brullei,redlist,No canonicalName found
Nomada jaramensis,redlist,No canonicalName found
Seladonia semitecta,redlist,No canonicalName found
Isoaeschna isoceles,redlist,No canonicalName found
Conocephalus concolor,redlist,No canonicalName found
Arctophila fulva,redlist,No canonicalName found
Histrio histrio,redlist,No canonicalName found
Upinella aterrima,redlist,No canonicalName found
Mycetochara auricoma,redlist,No canonicalName found
Adelina turcica,redlist,No canonicalName found
Iphthimulus truquii,redlist,No canonicalName found
Mycteroperca caninus,redlist,No canonicalName found
Allecula estriata,redlist,No canonicalName found
Hymenalia obscruripennis,redlist,No canonicalName found
Chionomys syriacus,redlist,No canonicalName found
Nothocricetulus migratorius,redlist,No canonicalName found
Histrio histrio,redlist,No canonicalName found
Iberus liturata,redlist,No canonicalName found
Chloris chloris,redlist,No canonicalName found
Alpinocottus poecilopus,redlist,No canonicalName found
Chrysosyrphus nigra,redlist,No canonicalName found
Chloris chloris,redlist,No canonicalName found
Cheilosia luteicornis,redlist,No canonicalName found
Aquarana catesbeianus,redlist,No canonicalName found
Coronella austriaca,redlist,No canonicalName found
Isoaeschna isoceles,redlist,No canonicalName found
Podarcis lusitanicus,redlist,No canonicalName found
Radomaniola kephalovrissonia,redlist,No canonicalName found
Podarcis thais,redlist,No canonicalName found
Cantharellus cucullatus,redlist,No canonicalName found
Cantharellus limbatus,redlist,No canonicalName found
Cantharellus inodorus,redlist,No canonicalName found
Cantharellus hiemalis,redlist,No canonicalName found
Cantharellus feltgenii,redlist,No canonicalName found
Cantharellus fechtneri,redlist,No canonicalName found
Cantharellus echinosporus,redlist,No canonicalName found
Cantharellus crassinervius,redlist,No canonicalName found
Cantharellus coriaceus,redlist,No canonicalName found
Cantharellus corconticus,redlist,No canonicalName found
Cantharellus collivagus,redlist,No canonicalName found
Cantharellus connatus,redlist,No canonicalName found
Cantharellus hygrophanus,redlist,No canonicalName found
Cantharellus discolor,redlist,No canonicalName found
Cantharellus graminum,redlist,No canonicalName found
Cantharellus cavinae,redlist,No canonicalName found
Cantharellus candidissimus,redlist,No canonicalName found
Cantharellus ludmilae,redlist,No canonicalName found
Cantharellus cyatheus,redlist,No canonicalName found
Cantharellus confertus,redlist,No canonicalName found
Cantharellus minutus,redlist,No canonicalName found
Cantharellus juranus,redlist,No canonicalName found
Cantharellus canalipes,redlist,No canonicalName found
Cantharellus clitocybeformis,redlist,No canonicalName found
Cantharellus lacunosus,redlist,No canonicalName found
Cantharellus mamillatus,redlist,No canonicalName found
Cantharellus gintlii,redlist,No canonicalName found
Cantharellus fascicularis,redlist,No canonicalName found
Cantharellus acicularis,redlist,No canonicalName found
Zootoca carniolica,redlist,No canonicalName found
Cyanoboletus poikilochromus,redlist,No canonicalName found
Codium parvulum,Animalia,No canonicalName found
Marissa cornuarietis,Animalia,No canonicalName found
Acanthophora spicifera,Animalia,No canonicalName found
Lespedeza juncea ssp. sericea (= L. cuneata),Plantae,No canonicalName found
Triadica sebifera (Sapium sebiferum),Plantae,No canonicalName found
Wedelia trilobata (= Sphagneticola trilobata),Plantae,No canonicalName found
Dictyosphaeria cavernosa,Animalia,No canonicalName found
Polyopes lancifolius,Animalia,No canonicalName found
Zostera japonica,Animalia,No canonicalName found
Salamandra atra aurorae,Animalia,No canonicalName found
Pelobates fuscus insubricus,Animalia,No canonicalName found
Gallotia galloti insulanagae,Animalia,No canonicalName found
Chalcides viridianus,Animalia,No canonicalName found
Coronella austriaca,nan,No canonicalName found
Natrix natrix cetti,Animalia,No canonicalName found
Natrix natrix corsa,Animalia,No canonicalName found
Microtus oeconomus arenicola,Animalia,No canonicalName found
Cervus elaphus corsicanus,Animalia,No canonicalName found
Capra pyrenaica pyrenaica,Animalia,No canonicalName found
Rupicapra rupicapra balcanica,Animalia,No canonicalName found
Rupicapra pyrenaica ornata,Animalia,No canonicalName found
Cladonia (Cladina) subsp.,Fungi,No canonicalName found
Sphagnum spp.,Plantae,No canonicalName found
Lycopodium spp.,Plantae,No canonicalName found
Hymenophyllum maderensis,Plantae,No canonicalName found
Salix salvifolia subsp. australis,Plantae,No canonicalName found
Dianthus cintranus subsp. cintranus,Plantae,No canonicalName found
Herniaria lusitanica subsp. berlengiana,Plantae,No canonicalName found
Aquilegia pyrenaica subsp. cazorlensis,Plantae,No canonicalName found
Paeonia clusii subsp. rhodia,Plantae,No canonicalName found
Malcolmia lacera subsp. gracilima,Plantae,No canonicalName found
Rhynchosinapis erucastrum subsp. cintrana,Plantae,No canonicalName found
Iberis procumbens subsp. microcarpa,Plantae,No canonicalName found
Murbeckiella pinnatifida subsp. herminii,Plantae,No canonicalName found
Rubus genevierii subsp. herminicus,Plantae,No canonicalName found
Dorycnium pentaphyllum subsp. transmontanum,Plantae,No canonicalName found
Melilotus segetalis subsp. fallax,Plantae,No canonicalName found
Limonium dodartii subsp. lusitanicum,Plantae,No canonicalName found
Convolvulus argyrothamnus,Plantae,No canonicalName found
Sideritis incana subsp. glauca,Plantae,No canonicalName found
Teucrium salviastrum subsp. salviastrum,Plantae,No canonicalName found
Thymus villosus subsp. villosus,Plantae,No canonicalName found
Chaenorhinum serpyllifolium subsp. lusitanicum,Plantae,No canonicalName found
Jasione crispa subsp. serpentinica,Plantae,No canonicalName found
Argyranthemum pinnatifidum subsp. succulentum,Plantae,No canonicalName found
Senecio lagascanus subsp. lusitanicus,Plantae,No canonicalName found
Centaurea micrantha subsp. herminii,Plantae,No canonicalName found
Doronicum plantagineum subsp. tournefortii,Plantae,No canonicalName found
Centaurea attica subsp. megarensis,Plantae,No canonicalName found
Scilla maderensis,Plantae,No canonicalName found
Narcissus pseudonarcissus subsp. nobilis,Plantae,No canonicalName found
Narcissus triandrus subsp. capax,Plantae,No canonicalName found
Holcus setiglumis subsp. duriensis,Plantae,No canonicalName found
Liparis loeselii,nan,No canonicalName found
Carabus menetriesi pacholei,Animalia,No canonicalName found
Helicopsis striata austriaca,Animalia,No canonicalName found
Agriades glandon aquilo,Animalia,No canonicalName found
Erebia medusa polaris,Animalia,No canonicalName found
Hesperia comma catena,Animalia,No canonicalName found
Rangifer tarandus fennicus,Animalia,No canonicalName found
Arenaria ciliata subsp. pseudofrigida,Plantae,No canonicalName found
Artemisia campestris subsp. bottnica,Plantae,No canonicalName found
Crepis tectorum subsp. nigrescens,Plantae,No canonicalName found
Dianthus arenarius subsp. arenarius,Plantae,No canonicalName found
Dryopteris fragans,Plantae,No canonicalName found
Platanthera obtusata subsp. oligantha,Plantae,No canonicalName found
Pulsatilla vulgaris subsp. gotlandica,Plantae,No canonicalName found
Viola rupestris subsp. relicta,Plantae,No canonicalName found
Paeonia officinalis subsp. banatica,Plantae,No canonicalName found
Astragalus macrocarpus subsp. lefkarensis,Plantae,No canonicalName found
Marmota marmota latirostris,Animalia,No canonicalName found
Microtus oeconomus mehelyi,Animalia,No canonicalName found
Ovis orientalis ophion,Animalia,No canonicalName found
Rupicapra rupicapra tatrica,Animalia,No canonicalName found
Natrix natrix cypriaca,Animalia,No canonicalName found
Triturus vulgaris ampelensis,Animalia,No canonicalName found
Dorcadion fulvum cervae,Animalia,No canonicalName found
Catopta thrips,Animalia,No canonicalName found
Gortyna borelii lunata,Animalia,No canonicalName found
Polymixis rufocincta isolata,Animalia,No canonicalName found
Dianthus arenarius subsp. bohemicus,Plantae,No canonicalName found
Dianthus plumarius subsp. regis-stephani,Plantae,No canonicalName found
Saussurea alpina subsp. esthonica,Plantae,No canonicalName found
Tephroseris longifolia subsp. moravica,Plantae,No canonicalName found
Iris aphylla subsp. hungarica,Plantae,No canonicalName found
Iris humilis subsp. arenaria,Plantae,No canonicalName found
Aconitum firmum subsp. moravicum,Plantae,No canonicalName found
Pulsatilla pratensis subsp. hungarica,Plantae,No canonicalName found
Vipera ursinii rakosiensis,Animalia,No canonicalName found
Poa granitica subsp. disparilis,Plantae,No canonicalName found
Lacerta vivipara pannonica,Animalia,No canonicalName found
Salmo louroensis,Animalia,No canonicalName found
Carabus (variolosus) nodulosus,Animalia,No canonicalName found
Sphagnum fimbriatum subsp. concinnum,Plantae,No canonicalName found
Sphagnum fimbriatum subsp. fimbriatum,Plantae,No canonicalName found
Sphagnum majus subsp. majus,Plantae,No canonicalName found
Sphagnum majus subsp. norvegicum,Plantae,No canonicalName found
Sphagnum subfulvum subsp. purpureum,Plantae,No canonicalName found
Sphagnum subfulvum subsp. subfulvum,Plantae,No canonicalName found
Sphagnum subnitens subsp. ferrugineum,Plantae,No canonicalName found
Sphagnum subnitens subsp. subnitens,Plantae,No canonicalName found
Biscutella sempervirens subsp. vicentina,Plantae,No canonicalName found
Silene involucrata subsp. tenella,Plantae,No canonicalName found
Dianthus laricifolius subsp. marizii,Plantae,No canonicalName found
Nepeta argolica subsp. dirphya,Plantae,No canonicalName found
Jacobaea vulgaris subsp. gotlandica,Plantae,No canonicalName found
Ceropegia dichotoma subsp. krainzii,Plantae,No canonicalName found
Pusa hispida saimensis,Animalia,No canonicalName found
Pusa hispida botnica,Animalia,No canonicalName found
Vipera ursinii macrops,Animalia,No canonicalName found
Proterebia afra dalmata,Animalia,No canonicalName found
Coregonus lavaretus Complex,Animalia,No canonicalName found
Morimus asper funereus,Animalia,No canonicalName found
Achondrostoma salamantinum,Animalia,No canonicalName found
Podarcis liolepis atrata,Animalia,No canonicalName found
Pontechium maculatum subsp. maculatum,Plantae,No canonicalName found
Papaver radicatum subsp. laestadianum,Plantae,No canonicalName found
Papaver radicatum subsp. radicatum,Plantae,No canonicalName found
Salamandra atra pasubiensis,Animalia,No canonicalName found
Ovis aries musimon,Animalia,No canonicalName found
Bufotes viridis Complex,Animalia,No canonicalName found
Cobitis taenia Complex,Animalia,No canonicalName found
Barbus meridionalis all others,Animalia,No canonicalName found
Cottus gobio all others,Animalia,No canonicalName found
Osmoderma eremita Complex,Animalia,No canonicalName found
Diplotaxis siifolia subsp. vicentina,Plantae,No canonicalName found
Jasione maritima var. sabularia,Plantae,No canonicalName found
Dactylorhiza kalopissii subsp. kalopissii,Plantae,No canonicalName found
Ophrys argolica subsp. argolica,Plantae,No canonicalName found
Ophrys kotschyi subsp. kotschyi,Plantae,No canonicalName found
Gavia,Animalia,No canonicalName found
Melanitta,Animalia,No canonicalName found
Alloteuthis,Animalia,No canonicalName found
Ammodytes,Animalia,No canonicalName found
Apristurus,Animalia,No canonicalName found
Argentina,Animalia,No canonicalName found
Beryx,Animalia,No canonicalName found
Chimaera,Animalia,No canonicalName found
Deania,Animalia,No canonicalName found
Lepidotrigla,Animalia,No canonicalName found
Mustelus,Animalia,No canonicalName found
Procambarus fallax virginalis,Animalia,No canonicalName found
Pueraria montana lobata,Plantae,No canonicalName found
Vespa velutina nigrithorax,Animalia,No canonicalName found
