species_name,kingdom,reason
Anterhynchium de,,No canonicalName found
Sida americana,,No canonicalName found
Ficus variegata,,No canonicalName found
Acanthococcus adenostomae,,No canonicalName found
Venturia musae,,No canonicalName found
Astraea lobata,,No canonicalName found
Fissurina aperta,,No canonicalName found
Venturia musae,,No canonicalName found
Ficus variegata,,No canonicalName found
Salix alba,,No canonicalName found
Ammophila arenaria,,No canonicalName found
Ammophila arenaria,,No canonicalName found
Fritillaria messanensis,,No canonicalName found
Venturia musae,,No canonicalName found
Nemastoma bidentatum,,No canonicalName found
Eisenia patriciae,,No canonicalName found
Clusia flava,,No canonicalName found
Diploderma polygonatum,,No canonicalName found
Venturia musae,,No canonicalName found
Rhaphidophora kinabaluensis,,No canonicalName found
Bernieria madagascariensis,,No canonicalName found
Sida americana,,No canonicalName found
Salix alba,,No canonicalName found
Salix alba,,No canonicalName found
Fenestella minor,,No canonicalName found
Fenestella media,,No canonicalName found
Crepis longipes,,No canonicalName found
Nemastoma bidentatum,,No canonicalName found
Fritillaria messanensis,,No canonicalName found
Eisenia patriciae,,No canonicalName found
Ficus variegata,,No canonicalName found
Salix alba,,No canonicalName found
Ammophila arenaria,,No canonicalName found
Helicopsis persica,,No canonicalName found
Bernieria madagascariensis,,No canonicalName found
Nemastoma bidentatum,,No canonicalName found
Salix alba,,No canonicalName found
Venturia musae,,No canonicalName found
Bosea psychrotolerans,,No canonicalName found
Agathis montana,,No canonicalName found
Ficus laminosa,,No canonicalName found
Venturia musae,,No canonicalName found
Venturia musae,,No canonicalName found
Coronella austriaca,redlist,No canonicalName found
Amphorella tuberculata,redlist,No canonicalName found
Amphorella gracilis,redlist,No canonicalName found
Salix alba,redlist,No canonicalName found
Mycteroperca caninus,redlist,No canonicalName found
Squalius sp. nov. 'Aoos',redlist,No canonicalName found
Temnothorax gordiagini,redlist,No canonicalName found
Hadziella ephippiostoma,redlist,No canonicalName found
Iberus splendidus,redlist,No canonicalName found
Campylaea istriana,redlist,No canonicalName found
Temnoscheila tristis,redlist,No canonicalName found
Thambus friwaldszkyi,redlist,No canonicalName found
Isoaeschna isoceles,redlist,No canonicalName found
Isoaeschna isoceles,redlist,No canonicalName found
Arctophila fulva,redlist,No canonicalName found
Liparis loeselii,redlist,No canonicalName found
Diplotaxis parvula,redlist,No canonicalName found
"Mercuria sp. nov. ""A""",redlist,No canonicalName found
Pseudamnicola sp. nov.,redlist,No canonicalName found
Temnothorax adlerzi,redlist,No canonicalName found
Chionomys syriacus,redlist,No canonicalName found
Chionomys syriacus,redlist,No canonicalName found
Alpinocottus poecilopus,redlist,No canonicalName found
Nothocricetulus migratorius,redlist,No canonicalName found
Nothocricetulus migratorius,redlist,No canonicalName found
Aquarana catesbeianus,redlist,No canonicalName found
Salariopsis economidisi,redlist,No canonicalName found
Hauffenia sp. nov.,redlist,No canonicalName found
Actinella robusta,redlist,No canonicalName found
Halopanurgus fuzetus,redlist,No canonicalName found
Seladonia concinna,redlist,No canonicalName found
Seladonia inpilosa,redlist,No canonicalName found
